Filename,Cluster,Midi 1 (transposed as written for TS),Fingering 1 Name,Fingering 1 Encoding,Midi 2 (transposed as written for TS),Fingering 2 Name,Fingering 2 Encoding,Trill Speed
Trill449.wav,-1,75,Eb With octave key,1010110000000_1100110000,77,F With octave key,1010110000000_1000000000,5.529411764705882
Trill450.wav,95,64,E Without octave key,0010110000000_1100000000,79,G With octave key,1010110000000_0000000000,1.487414187643021
Trill451.wav,89,78,F# With octave key (Chromatic),1010110000000_1001000000,86,High D,1000000000001_0000000000,2.4414062499999996
Trill452.wav,92,74,D With octave key,1010110000000_1100100000,90,High F# (front),1100100000000_0010000000,0.8676789587852494
Trill453.wav,-1,67,G Without octave key,0010110000000_0000000000,68,G# Without octave key (default),0010111000000_0000000000,6.666666666666667
Trill454.wav,93,76,E With octave key,1010110000000_1100000000,90,High F# (front),1100100000000_0010000000,0.8676789587852494
Trill455.wav,87,71,B Without octave key,0010000000000_0000000000,78,F# With octave key (Chromatic),1010110000000_1001000000,2.144469525959368
Trill456.wav,96,58,Low Bb,0010110001000_1100101000,62,D Without octave key,0010110000000_1100100000,3.0085959885386817
Trill457.wav,88,58,Low Bb,0010110001000_1100101000,68,G# Without octave key (default),0010111000000_0000000000,1.7467248908296944
Trill458.wav,96,59,Low B,0010110010000_1100101000,64,E Without octave key,0010110000000_1100000000,2.9874213836477987
Trill459.wav,87,70,Bb Without octave key (Bis key),0011100000000_0000000000,77,F With octave key,1010110000000_1000000000,2.2573363431151243
Trill460.wav,-1,60,Low C,0010110000000_1100101000,65,F Without octave key,0010110000000_1000000000,4.260651629072681
Trill461.wav,86,71,B Without octave key,0010000000000_0000000000,75,Eb With octave key,1010110000000_1100110000,2.65748031496063
Trill462.wav,-1,79,G With octave key,1010110000000_0000000000,84,C With octave key,1000100000000_0000000000,3.4802784222737824
Trill463.wav,89,77,F With octave key,1010110000000_1000000000,86,High D,1000000000001_0000000000,2.6052104208416833
Trill464.wav,87,70,Bb Without octave key (side key),0010100000000_0000000001,77,F With octave key,1010110000000_1000000000,2.1158129175946545
Trill465.wav,93,75,Eb With octave key,1010110000000_1100110000,89,High F (front),1100100000000_0000000000,1.7353579175704987
