Filename,Note 1 MIDI,Note 2 MIDI,Best Trill Speed
Trill249.wav,66,78,1.5075376884422111
Trill248.wav,55,74,1.9572953736654808
Trill213.wav,48,53,3.090909090909091
Trill207.wav,54,70,2.0134228187919465
Trill206.wav,49,72,1.2195121951219514
Trill212.wav,67,78,1.4056224899598393
Trill238.wav,48,71,1.6014234875444842
Trill204.wav,60,63,3.990610328638498
Trill210.wav,74,75,5.152671755725191
Trill199.wav,72,73,5.5045871559633035
Trill198.wav,59,70,2.406417112299465
Trill211.wav,57,70,2.2613065326633164
Trill205.wav,65,78,1.2345679012345678
Trill239.wav,70,72,2.888888888888889
Trill201.wav,66,78,1.0025062656641603
Trill215.wav,61,62,4.016064257028112
Trill229.wav,69,71,4.896142433234422
Trill188.wav,67,72,4.1420118343195265
Trill189.wav,51,78,0.815850815850816
Trill228.wav,52,70,1.3043478260869563
Trill214.wav,77,78,4.580152671755725
Trill200.wav,63,65,5.031446540880503
Trill216.wav,58,70,2.3316062176165806
Trill202.wav,47,65,0.9433962264150942
Trill203.wav,67,69,4.770992366412213
Trill217.wav,56,70,1.8716577540106951
Trill232.wav,49,67,1.3937282229965158
Trill226.wav,76,78,4.528301886792453
Trill187.wav,48,67,1.2635379061371843
Trill193.wav,68,78,1.1661807580174925
Trill192.wav,47,70,0.7920792079207921
Trill186.wav,51,70,1.4760147601476015
Trill227.wav,46,64,0.8902077151335313
Trill233.wav,54,74,1.4056224899598393
Trill219.wav,69,76,2.0
Trill225.wav,69,78,1.6064257028112447
Trill231.wav,55,75,1.6014234875444842
Trill190.wav,46,69,0.9668508287292817
Trill185.wav,69,70,4.933333333333334
Trill191.wav,76,77,4.275092936802974
Trill230.wav,48,66,1.3377926421404682
Trill224.wav,71,73,5.248618784530387
Trill218.wav,47,66,1.0574018126888218
Trill220.wav,61,63,3.4136546184738954
Trill234.wav,49,71,1.1705685618729096
Trill208.wav,47,69,1.125
Trill195.wav,46,65,1.6064257028112447
Trill194.wav,58,70,2.1951219512195124
Trill209.wav,50,78,0.9615384615384615
Trill235.wav,70,77,1.7647058823529413
Trill221.wav,69,77,1.6923076923076923
Trill237.wav,50,62,1.4376996805111821
Trill223.wav,60,62,3.5315985130111525
Trill196.wav,48,70,1.5555555555555556
Trill197.wav,56,75,1.4767932489451476
Trill222.wav,50,70,1.5075376884422111
Trill236.wav,70,78,1.5432098765432098
Trill251.wav,53,70,1.9543973941368076
Trill245.wav,77,78,5.818181818181818
Trill244.wav,67,68,4.012345679012346
Trill250.wav,71,78,1.7857142857142856
Trill246.wav,54,74,1.6791044776119401
Trill247.wav,55,70,1.8433179723502304
Trill243.wav,49,70,1.5358361774744025
Trill242.wav,54,70,1.3937282229965158
Trill240.wav,55,56,5.119453924914675
Trill241.wav,56,74,1.7175572519083968
