Session,Cluster,Note 1 midi,Note 1 name,Note 1 encoding,Note 2 midi,Note 2 encoding,Note 2 encoding
0,4,78,F# With octave key (main),1010110000000_0100000000,89,High F (front),1100100000000_0000000000
0,87,67,G Without octave key,0010110000000_0000000000,74,D With octave key,1010110000000_1100100000
0,87,70,Bb Without octave key (side key),0010100000000_0000000000,75,Eb With octave key,1010110000000_1100110000
0,62,77,F With octave key,1010110000000_1000000000,84,C With octave key,1000100000000_0000000000
1,114,70,Bb Without octave key (Bis key),0011100000000_0000000000,82,Bb With octave key (side key),1010100000000_0000000001
1,81,62,D Without octave key,0010110000000_1100100000,67,G Without octave key,0010110000000_0000000000
1,120,62,D Without octave key,0010110000000_1100100000,69,A Without octave key,0010100000000_0000000000
1,115,61,Low C#,0010110100000_1100101000,73,C# Without octave key,0000000000000_0000000000
1,82,70,Bb Without octave key (side key),0010100000000_0000000000,70,Bb Without octave key (Bis key),0011100000000_0000000000
1,100,68,G# Without octave key (default),0010111000000_0000000000,84,C With octave key,1000100000000_0000000000
1,103,79,G With octave key,1010110000000_0000000000,85,C# With octave key,1000000000000_0000000000
1,82,69,A Without octave key,0010100000000_0000000000,71,B Without octave key,0010000000000_0000000000
1,120,62,D Without octave key,0010110000000_1100100000,70,Bb Without octave key (side key),0010100000000_0000000000
1,115,58,Low Bb,0010110001000_1100101000,70,Bb Without octave key (side key),0010100000000_0000000000
1,100,73,C# Without octave key,0000000000000_0000000000,89,High F (front),1100100000000_0000000000
1,89,85,C# With octave key,1000000000000_0000000000,86,High D,1000000000001_0000000000
1,115,61,Low C#,0010110100000_1100101000,72,C Without octave key,0000100000000_0000000000
1,82,72,C Without octave key,0000100000000_0000000000,73,C# Without octave key,0000000000000_0000000000
1,100,70,Bb Without octave key (side key),0010100000000_0000000000,85,C# With octave key,1000000000000_0000000000
1,100,67,G Without octave key,0010110000000_0000000000,84,C With octave key,1000100000000_0000000000
1,-1,67,G Without octave key,0010110000000_0000000000,68,G# Without octave key (default),0010111000000_0000000000
1,103,68,G# Without octave key (default),0010111000000_0000000000,73,C# Without octave key,0000000000000_0000000000
1,113,73,C# Without octave key,0000000000000_0000000000,75,Eb With octave key,1010110000000_1100110000
1,82,69,A Without octave key,0010100000000_0000000000,70,Bb Without octave key (Bis key),0011100000000_0000000000
1,120,63,Eb Without octave key,0010110000000_1100110000,71,B Without octave key,0010000000000_0000000000
1,108,59,Low B,0010110010000_1100101000,80,G# With octave key (default),1010111000000_0000000000
1,81,75,Eb With octave key,1010110000000_1100110000,81,A With octave key,1010100000000_0000000000
1,108,58,Low Bb,0010110001000_1100101000,80,G# With octave key (default),1010111000000_0000000000
1,115,60,Low C,0010110000000_1100101000,72,C Without octave key,0000100000000_0000000000
1,82,70,Bb Without octave key (Bis key),0011100000000_0000000000,72,C Without octave key,0000100000000_0000000000
1,89,85,C# With octave key,1000000000000_0000000000,87,High Eb,1000000000011_0000000000
1,-1,75,Eb With octave key,1010110000000_1100110000,77,F With octave key,1010110000000_1000000000
1,113,72,C Without octave key,0000100000000_0000000000,74,D With octave key,1010110000000_1100100000
1,11,62,D Without octave key,0010110000000_1100100000,90,High F# (front),1100100000000_0010000000
1,115,58,Low Bb,0010110001000_1100101000,70,Bb Without octave key (Bis key),0011100000000_0000000000
1,-1,81,A With octave key,1010100000000_0000000000,88,High E,1000000000011_0000000100
1,81,62,D Without octave key,0010110000000_1100100000,68,G# Without octave key (default),0010111000000_0000000000
1,100,72,C Without octave key,0000100000000_0000000000,89,High F (front),1100100000000_0000000000
1,115,59,Low B,0010110010000_1100101000,70,Bb Without octave key (Bis key),0011100000000_0000000000
1,100,70,Bb Without octave key (Bis key),0011100000000_0000000000,85,C# With octave key,1000000000000_0000000000
1,115,59,Low B,0010110010000_1100101000,71,B Without octave key,0010000000000_0000000000
1,89,87,High Eb,1000000000011_0000000000,89,High F (front),1100100000000_0000000000
1,-1,60,Low C,0010110000000_1100101000,65,F Without octave key,0010110000000_1000000000
1,82,68,G# Without octave key (default),0010111000000_0000000000,69,A Without octave key,0010100000000_0000000000
1,100,67,G Without octave key,0010110000000_0000000000,82,Bb With octave key (Bis key),1011100000000_0000000000
1,100,69,A Without octave key,0010100000000_0000000000,85,C# With octave key,1000000000000_0000000000
1,82,69,A Without octave key,0010100000000_0000000000,70,Bb Without octave key (side key),0010100000000_0000000000
1,100,68,G# Without octave key (default),0010111000000_0000000000,85,C# With octave key,1000000000000_0000000000
1,82,70,Bb Without octave key (side key),0010100000000_0000000000,71,B Without octave key,0010000000000_0000000000
1,-1,62,D Without octave key,0010110000000_1100100000,74,D With octave key,1010110000000_1100100000
1,82,70,Bb Without octave key (Bis key),0011100000000_0000000000,71,B Without octave key,0010000000000_0000000000
1,120,62,D Without octave key,0010110000000_1100100000,70,Bb Without octave key (Bis key),0011100000000_0000000000
1,113,73,C# Without octave key,0000000000000_0000000000,74,D With octave key,1010110000000_1100100000
1,81,63,Eb Without octave key,0010110000000_1100110000,68,G# Without octave key (default),0010111000000_0000000000
1,100,68,G# Without octave key (default),0010111000000_0000000000,83,B With octave key,1010000000000_0000000000
1,82,71,B Without octave key,0010000000000_0000000000,73,C# Without octave key,0000000000000_0000000000
1,97,89,High F (side),1000000000111_0000000100,90,High F# (front),1100100000000_0010000000
1,100,69,A Without octave key,0010100000000_0000000000,84,C With octave key,1000100000000_0000000000
1,103,80,G# With octave key (default),1010111000000_0000000000,85,C# With octave key,1000000000000_0000000000
1,100,67,G Without octave key,0010110000000_0000000000,83,B With octave key,1010000000000_0000000000
1,81,63,Eb Without octave key,0010110000000_1100110000,69,A Without octave key,0010100000000_0000000000
1,81,74,D With octave key,1010110000000_1100100000,80,G# With octave key (default),1010111000000_0000000000
1,89,83,B With octave key,1010000000000_0000000000,86,High D,1000000000001_0000000000
1,120,63,Eb Without octave key,0010110000000_1100110000,70,Bb Without octave key (side key),0010100000000_0000000000
1,103,67,G Without octave key,0010110000000_0000000000,73,C# Without octave key,0000000000000_0000000000
1,82,70,Bb Without octave key (side key),0010100000000_0000000000,72,C Without octave key,0000100000000_0000000000
1,89,87,High Eb,1000000000011_0000000000,90,High F# (front),1100100000000_0010000000
1,114,70,Bb Without octave key (side key),0010100000000_0000000000,82,Bb With octave key (side key),1010100000000_0000000001
1,97,88,High E,1000000000011_0000000100,90,High F# (front),1100100000000_0010000000
1,89,84,C With octave key,1000100000000_0000000000,86,High D,1000000000001_0000000000
1,97,89,High F (front),1100100000000_0000000000,90,High F# (side),1000000000111_0010000100
