Filename,Cluster,Midi 1 (transposed as written for TS),Fingering 1 Name,Fingering 1 Encoding,Midi 2 (transposed as written for TS),Fingering 2 Name,Fingering 2 Encoding,(Normalised) Trill Speed
110,77,F With octave key,1010110000000_1000000000,87,High Eb,1000000000011_0000000000,2.0603099249156864
71,62,D Without octave key,0010110000000_1100100000,88,High E,1000000000011_0000000100,2.421383565430118
91,66,F# Without octave key (main),0010110000000_0100000000,73,C# Without octave key,0000000000000_0000000000,2.6005250406790266
87,69,A Without octave key,0010100000000_0000000000,74,D With octave key,1010110000000_1100100000,2.8942671475401003
4,80,G# With octave key (default),1010111000000_0000000000,90,High F# (front),1100100000000_0010000000,1.7582340905791398
96,68,G# Without octave key (default),0010111000000_0000000000,71,B Without octave key,0010000000000_0000000000,4.121337963143031
5,79,G With octave key,1010110000000_0000000000,89,High F (side),1000000000111_0000000100,1.42835100160842
91,64,E Without octave key,0010110000000_1100000000,72,C Without octave key,0000100000000_0000000000,2.5852589314953267
96,70,Bb Without octave key (side key),0010100000000_0000000000,73,C# Without octave key,0000000000000_0000000000,4.542913182775615
33,71,B Without octave key,0010000000000_0000000000,89,High F (front),1100100000000_0000000000,1.4261557456345135
96,70,Bb Without octave key (Bis key),0011100000000_0000000000,73,C# Without octave key,0000000000000_0000000000,5.33089276641959
87,68,G# Without octave key (default),0010111000000_0000000000,74,D With octave key,1010110000000_1100100000,2.5015157115753115
71,63,Eb Without octave key,0010110000000_1100110000,89,High F (side),1000000000111_0000000100,1.780895414490018
5,79,G With octave key,1010110000000_0000000000,90,High F# (side),1000000000111_0010000100,1.8873533300136924
71,64,E Without octave key,0010110000000_1100000000,90,High F# (side),1000000000111_0010000100,1.3440730853710041
62,76,E With octave key,1010110000000_1100000000,82,Bb With octave key (Bis key),1011100000000_0000000000,3.4791042329194344
-1,75,Eb With octave key,1010110000000_1100110000,77,F With octave key,1010110000000_1000000000,5.131275242418497
12,75,Eb With octave key,1010110000000_1100110000,86,High D,1000000000001_0000000000,2.5231622330304773
110,78,F# With octave key (main),1010110000000_0100000000,87,High Eb,1000000000011_0000000000,1.861223616359135
62,78,F# With octave key (Chromatic),1010110000000_1001000000,84,C With octave key,1000100000000_0000000000,2.742708637029577
146,61,Low C#,0010110100000_1100101000,78,F# With octave key (Chromatic),1010110000000_1001000000,1.1785810675951562
136,73,C# Without octave key,0000000000000_0000000000,89,High F (side),1000000000111_0000000100,1.9489686549298568
4,78,F# With octave key (main),1010110000000_0100000000,89,High F (front),1100100000000_0000000000,2.3662772087183273
87,67,G Without octave key,0010110000000_0000000000,74,D With octave key,1010110000000_1100100000,1.9624321526512212
87,70,Bb Without octave key (side key),0010100000000_0000000000,75,Eb With octave key,1010110000000_1100110000,2.4040710695447096
62,77,F With octave key,1010110000000_1000000000,84,C With octave key,1000100000000_0000000000,3.5605397899817572
