Filename,Cluster,Midi 1 (transposed as written for TS),Fingering 1 Name,Fingering 1 Encoding,Midi 2 (transposed as written for TS),Fingering 2 Name,Fingering 2 Encoding,Trill Speed
Trill51_1.wav,87,69,A Without octave key,0010100000000_0000000000,74,D With octave key,1010110000000_1100100000,2.818627450980392
Trill52_1.wav,4,80,G# With octave key (default),1010111000000_0000000000,90,High F# (front),1100100000000_0010000000,1.6835016835016836
Trill53_1.wav,96,68,G# Without octave key (default),0010111000000_0000000000,71,B Without octave key,0010000000000_0000000000,4.046242774566474
Trill54_1.wav,5,79,G With octave key,1010110000000_0000000000,89,High F (side),1000000000111_0000000100,1.5765765765765767
Trill55_1.wav,91,64,E Without octave key,0010110000000_1100000000,72,C Without octave key,0000100000000_0000000000,2.50965250965251
Trill56_1.wav,96,70,Bb Without octave key (side key),0010100000000_0000000001,73,C# Without octave key,0000000000000_0000000000,4.468085106382978
Trill57_1.wav,33,71,B Without octave key,0010000000000_0000000000,89,High F (front),1100100000000_0000000000,1.351351351351351
Trill58_1.wav,96,70,Bb Without octave key (Bis key),0011100000000_0000000000,73,C# Without octave key,0000000000000_0000000000,5.256064690026954
Trill59_1.wav,87,68,G# Without octave key (default),0010111000000_0000000000,74,D With octave key,1010110000000_1100100000,2.4258760107816713
Trill60_1.wav,71,63,Eb Without octave key,0010110000000_1100110000,89,High F (side),1000000000111_0000000100,1.5384615384615383
Trill61_1.wav,5,79,G With octave key,1010110000000_0000000000,90,High F# (side),1000000000111_0010000100,2.027027027027027
Trill62_1.wav,71,64,E Without octave key,0010110000000_1100000000,90,High F# (side),1000000000111_0010000100,1.1261261261261262
Trill63_1.wav,62,76,E With octave key,1010110000000_1100000000,82,Bb With octave key (Bis key),1011100000000_0000000000,3.4161490683229814
Trill64_1.wav,-1,75,Eb With octave key,1010110000000_1100110000,77,F With octave key,1010110000000_1000000000,5.0561797752809
Trill65_1.wav,12,75,Eb With octave key,1010110000000_1100110000,86,High D,1000000000001_0000000000,2.5525525525525525
Trill66_1.wav,110,78,F# With octave key (main),1010110000000_0100000000,87,High Eb,1000000000011_0000000000,2.0202020202020203
Trill67_1.wav,62,78,F# With octave key (Chromatic),1010110000000_1001000000,84,C With octave key,1000100000000_0000000000,2.6936026936026938
Trill68_1.wav,146,61,Low C#,0010110100000_1100101000,78,F# With octave key (Chromatic),1010110000000_1001000000,1.1029411764705883
Trill69_1.wav,136,73,C# Without octave key,0000000000000_0000000000,89,High F (side),1000000000111_0000000100,2.0958083832335332
Trill70_1.wav,4,78,F# With octave key (main),1010110000000_0100000000,89,High F (front),1100100000000_0000000000,2.2911051212938007
Trill71_1.wav,87,67,G Without octave key,0010110000000_0000000000,74,D With octave key,1010110000000_1100100000,1.886792452830189
Trill72_1.wav,87,70,Bb Without octave key (side key),0010100000000_0000000001,75,Eb With octave key,1010110000000_1100110000,2.3284313725490198
Trill73_1.wav,62,77,F With octave key,1010110000000_1000000000,84,C With octave key,1000100000000_0000000000,3.507194244604316
