Session,Cluster,Note 1 midi,Note 1 name,Note 1 encoding,Note 2 midi,Note 2 encoding,Note 2 encoding,SEED:10#Note->someanchorsaddedviafixscript
0,7,62,D Without octave key,0010110000000_1100100000,88,High E,1000000000011_0000000100
0,5,58,Low Bb,0010110001000_1100101000,87,High Eb,1000000000011_0000000000
1,-1,79,G With octave key,1010110000000_0000000000,84,C With octave key,1000100000000_0000000000
1,13,76,E With octave key,1010110000000_1100000000,78,F# With octave key (main),1010110000000_0100000000
1,22,63,Eb Without octave key,0010110000000_1100110000,87,High Eb,1000000000011_0000000000
1,24,75,Eb With octave key,1010110000000_1100110000,90,High F# (side),1000000000111_0010000100
1,13,78,F# With octave key (main),1010110000000_0100000000,78,F# With octave key (Chromatic),1010110000000_1001000000
1,21,59,Low B,0010110010000_1100101000,85,C# With octave key,1000000000000_0000000000
1,13,77,F With octave key,1010110000000_1000000000,79,G With octave key,1010110000000_0000000000
1,-1,62,D Without octave key,0010110000000_1100100000,74,D With octave key,1010110000000_1100100000
1,-1,81,A With octave key,1010100000000_0000000000,88,High E,1000000000011_0000000100
1,13,76,E With octave key,1010110000000_1100000000,77,F With octave key,1010110000000_1000000000
1,12,73,C# Without octave key,0000000000000_0000000000,77,F With octave key,1010110000000_1000000000
1,13,78,F# With octave key (main),1010110000000_0100000000,79,G With octave key,1010110000000_0000000000
1,23,60,Low C,0010110000000_1100101000,82,Bb With octave key (side key),1010100000000_0000000001
1,16,70,Bb Without octave key (Bis key),0011100000000_0000000000,89,High F (side),1000000000111_0000000100
1,13,74,D With octave key,1010110000000_1100100000,75,Eb With octave key,1010110000000_1100110000
1,20,73,C# Without octave key,0000000000000_0000000000,90,High F# (side),1000000000111_0010000100
1,16,70,Bb Without octave key (side key),0010100000000_0000000000,88,High E,1000000000011_0000000100
1,-1,67,G Without octave key,0010110000000_0000000000,68,G# Without octave key (default),0010111000000_0000000000
1,22,62,D Without octave key,0010110000000_1100100000,86,High D,1000000000001_0000000000
1,13,78,F# With octave key (Chromatic),1010110000000_1001000000,79,G With octave key,1010110000000_0000000000
1,19,76,E With octave key,1010110000000_1100000000,90,High F# (side),1000000000111_0010000100
1,15,59,Low B,0010110010000_1100101000,89,High F (front),1100100000000_0000000000
1,20,73,C# Without octave key,0000000000000_0000000000,89,High F (side),1000000000111_0000000100
1,21,58,Low Bb,0010110001000_1100101000,85,C# With octave key,1000000000000_0000000000
1,-1,75,Eb With octave key,1010110000000_1100110000,77,F With octave key,1010110000000_1000000000
1,17,69,A Without octave key,0010100000000_0000000000,89,High F (side),1000000000111_0000000100
1,17,70,Bb Without octave key (side key),0010100000000_0000000000,90,High F# (side),1000000000111_0010000100
1,13,74,D With octave key,1010110000000_1100100000,76,E With octave key,1010110000000_1100000000
1,16,69,A Without octave key,0010100000000_0000000000,88,High E,1000000000011_0000000100
1,16,70,Bb Without octave key (Bis key),0011100000000_0000000000,88,High E,1000000000011_0000000100
1,17,69,A Without octave key,0010100000000_0000000000,90,High F# (side),1000000000111_0010000100
1,23,61,Low C#,0010110100000_1100101000,82,Bb With octave key (side key),1010100000000_0000000001
1,13,77,F With octave key,1010110000000_1000000000,78,F# With octave key (Chromatic),1010110000000_1001000000
1,15,58,Low Bb,0010110001000_1100101000,89,High F (front),1100100000000_0000000000
1,20,73,C# Without octave key,0000000000000_0000000000,88,High E,1000000000011_0000000100
1,16,70,Bb Without octave key (side key),0010100000000_0000000000,89,High F (side),1000000000111_0000000100
1,13,75,Eb With octave key,1010110000000_1100110000,76,E With octave key,1010110000000_1100000000
1,22,62,D Without octave key,0010110000000_1100100000,87,High Eb,1000000000011_0000000000
1,18,60,Low C,0010110000000_1100101000,86,High D,1000000000001_0000000000
1,12,73,C# Without octave key,0000000000000_0000000000,76,E With octave key,1010110000000_1100000000
1,25,61,Low C#,0010110100000_1100101000,90,High F# (front),1100100000000_0010000000
1,13,77,F With octave key,1010110000000_1000000000,78,F# With octave key (main),1010110000000_0100000000
1,18,61,Low C#,0010110100000_1100101000,87,High Eb,1000000000011_0000000000
1,14,59,Low B,0010110010000_1100101000,90,High F# (front),1100100000000_0010000000
1,20,72,C Without octave key,0000100000000_0000000000,89,High F (side),1000000000111_0000000100
1,19,74,D With octave key,1010110000000_1100100000,88,High E,1000000000011_0000000100
