Session,Cluster,Note 1 midi,Note 1 name,Note 1 encoding,Note 2 midi,Note 2 encoding,Note 2 encoding
2,33,62,D Without octave key,0010110000000_1100100000,82,Bb With octave key (side key),1010100000000_0000000001
2,37,78,F# With octave key (Chromatic),1010110000000_1001000000,89,High F (side),1000000000111_0000000100
2,31,60,Low C,0010110000000_1100101000,85,C# With octave key,1000000000000_0000000000
2,35,58,Low Bb,0010110001000_1100101000,81,A With octave key,1010100000000_0000000000
2,37,77,F With octave key,1010110000000_1000000000,88,High E,1000000000011_0000000100
2,34,65,F Without octave key,0010110000000_1000000000,87,High Eb,1000000000011_0000000000
2,36,59,Low B,0010110010000_1100101000,80,G# With octave key (default),1010111000000_0000000000
2,36,58,Low Bb,0010110001000_1100101000,80,G# With octave key (default),1010111000000_0000000000
2,31,59,Low B,0010110010000_1100101000,84,C With octave key,1000100000000_0000000000
2,29,70,Bb Without octave key (side key),0010100000000_0000000000,72,C Without octave key,0000100000000_0000000000
2,39,62,D Without octave key,0010110000000_1100100000,89,High F (front),1100100000000_0000000000
2,30,74,D With octave key,1010110000000_1100100000,88,High E,1000000000011_0000000100
2,40,68,G# Without octave key (default),0010111000000_0000000000,86,High D,1000000000001_0000000000
2,34,66,F# Without octave key (main),0010110000000_0100000000,86,High D,1000000000001_0000000000
2,37,78,F# With octave key (Chromatic),1010110000000_1001000000,88,High E,1000000000011_0000000100
2,37,79,G With octave key,1010110000000_0000000000,89,High F (side),1000000000111_0000000100
2,29,71,B Without octave key,0010000000000_0000000000,73,C# Without octave key,0000000000000_0000000000
2,37,79,G With octave key,1010110000000_0000000000,90,High F# (side),1000000000111_0010000100
2,-1,60,Low C,0010110000000_1100101000,65,F Without octave key,0010110000000_1000000000
2,40,68,G# Without octave key (default),0010111000000_0000000000,87,High Eb,1000000000011_0000000000
2,31,59,Low B,0010110010000_1100101000,83,B With octave key,1010000000000_0000000000
2,37,78,F# With octave key (main),1010110000000_0100000000,88,High E,1000000000011_0000000100
2,29,70,Bb Without octave key (side key),0010100000000_0000000000,71,B Without octave key,0010000000000_0000000000
2,33,63,Eb Without octave key,0010110000000_1100110000,82,Bb With octave key (side key),1010100000000_0000000001
2,29,69,A Without octave key,0010100000000_0000000000,70,Bb Without octave key (Bis key),0011100000000_0000000000
2,29,69,A Without octave key,0010100000000_0000000000,70,Bb Without octave key (side key),0010100000000_0000000000
2,35,60,Low C,0010110000000_1100101000,84,C With octave key,1000100000000_0000000000
2,40,67,G Without octave key,0010110000000_0000000000,87,High Eb,1000000000011_0000000000
2,34,66,F# Without octave key (Chromatic),0010110000000_1001000000,87,High Eb,1000000000011_0000000000
2,29,70,Bb Without octave key (Bis key),0011100000000_0000000000,72,C Without octave key,0000100000000_0000000000
2,37,80,G# With octave key (default),1010111000000_0000000000,90,High F# (side),1000000000111_0010000100
2,30,75,Eb With octave key,1010110000000_1100110000,89,High F (side),1000000000111_0000000100
2,39,63,Eb Without octave key,0010110000000_1100110000,89,High F (front),1100100000000_0000000000
2,29,67,G Without octave key,0010110000000_0000000000,69,A Without octave key,0010100000000_0000000000
2,29,69,A Without octave key,0010100000000_0000000000,71,B Without octave key,0010000000000_0000000000
2,-1,75,Eb With octave key,1010110000000_1100110000,77,F With octave key,1010110000000_1000000000
2,30,74,D With octave key,1010110000000_1100100000,89,High F (side),1000000000111_0000000100
2,-1,67,G Without octave key,0010110000000_0000000000,68,G# Without octave key (default),0010111000000_0000000000
2,31,58,Low Bb,0010110001000_1100101000,83,B With octave key,1010000000000_0000000000
2,-1,79,G With octave key,1010110000000_0000000000,84,C With octave key,1000100000000_0000000000
2,30,75,Eb With octave key,1010110000000_1100110000,88,High E,1000000000011_0000000100
2,31,61,Low C#,0010110100000_1100101000,85,C# With octave key,1000000000000_0000000000
2,38,80,G# With octave key (default),1010111000000_0000000000,89,High F (side),1000000000111_0000000100
2,-1,62,D Without octave key,0010110000000_1100100000,74,D With octave key,1010110000000_1100100000
2,35,60,Low C,0010110000000_1100101000,83,B With octave key,1010000000000_0000000000
2,30,76,E With octave key,1010110000000_1100000000,90,High F# (side),1000000000111_0010000100
2,31,58,Low Bb,0010110001000_1100101000,82,Bb With octave key (Bis key),1011100000000_0000000000
2,35,61,Low C#,0010110100000_1100101000,84,C With octave key,1000100000000_0000000000
2,34,65,F Without octave key,0010110000000_1000000000,86,High D,1000000000001_0000000000
2,39,64,E Without octave key,0010110000000_1100000000,90,High F# (front),1100100000000_0010000000
2,-1,81,A With octave key,1010100000000_0000000000,88,High E,1000000000011_0000000100
2,40,67,G Without octave key,0010110000000_0000000000,86,High D,1000000000001_0000000000
2,34,66,F# Without octave key (main),0010110000000_0100000000,87,High Eb,1000000000011_0000000000
2,37,78,F# With octave key (main),1010110000000_0100000000,89,High F (side),1000000000111_0000000100
2,35,59,Low B,0010110010000_1100101000,82,Bb With octave key (Bis key),1011100000000_0000000000
2,34,66,F# Without octave key (Chromatic),0010110000000_1001000000,86,High D,1000000000001_0000000000
3,49,82,Bb With octave key (Bis key),1011100000000_0000000000,89,High F (side),1000000000111_0000000100
3,50,66,F# Without octave key (Chromatic),0010110000000_1001000000,82,Bb With octave key (side key),1010100000000_0000000001
3,41,64,E Without octave key,0010110000000_1100000000,65,F Without octave key,0010110000000_1000000000
3,41,66,F# Without octave key (Chromatic),0010110000000_1001000000,67,G Without octave key,0010110000000_0000000000
3,49,83,B With octave key,1010000000000_0000000000,90,High F# (side),1000000000111_0010000100
3,48,61,Low C#,0010110100000_1100101000,79,G With octave key,1010110000000_0000000000
3,47,59,Low B,0010110010000_1100101000,78,F# With octave key (Chromatic),1010110000000_1001000000
3,46,60,Low C,0010110000000_1100101000,76,E With octave key,1010110000000_1100000000
3,47,61,Low C#,0010110100000_1100101000,78,F# With octave key (Chromatic),1010110000000_1001000000
3,42,82,Bb With octave key (Bis key),1011100000000_0000000000,90,High F# (side),1000000000111_0010000100
3,50,64,E Without octave key,0010110000000_1100000000,82,Bb With octave key (side key),1010100000000_0000000001
3,41,62,D Without octave key,0010110000000_1100100000,63,Eb Without octave key,0010110000000_1100110000
3,45,62,D Without octave key,0010110000000_1100100000,90,High F# (front),1100100000000_0010000000
3,41,65,F Without octave key,0010110000000_1000000000,66,F# Without octave key (Chromatic),0010110000000_1001000000
3,49,81,A With octave key,1010100000000_0000000000,89,High F (side),1000000000111_0000000100
3,43,60,Low C,0010110000000_1100101000,81,A With octave key,1010100000000_0000000000
3,48,61,Low C#,0010110100000_1100101000,81,A With octave key,1010100000000_0000000000
3,46,60,Low C,0010110000000_1100101000,78,F# With octave key (main),1010110000000_0100000000
3,43,61,Low C#,0010110100000_1100101000,82,Bb With octave key (Bis key),1011100000000_0000000000
3,48,59,Low B,0010110010000_1100101000,79,G With octave key,1010110000000_0000000000
3,41,65,F Without octave key,0010110000000_1000000000,67,G Without octave key,0010110000000_0000000000
3,41,62,D Without octave key,0010110000000_1100100000,64,E Without octave key,0010110000000_1100000000
3,44,71,B Without octave key,0010000000000_0000000000,87,High Eb,1000000000011_0000000000
3,43,58,Low Bb,0010110001000_1100101000,79,G With octave key,1010110000000_0000000000
3,46,60,Low C,0010110000000_1100101000,77,F With octave key,1010110000000_1000000000
3,44,70,Bb Without octave key (Bis key),0011100000000_0000000000,87,High Eb,1000000000011_0000000000
3,-1,75,Eb With octave key,1010110000000_1100110000,77,F With octave key,1010110000000_1000000000
3,-1,79,G With octave key,1010110000000_0000000000,84,C With octave key,1000100000000_0000000000
3,45,63,Eb Without octave key,0010110000000_1100110000,90,High F# (front),1100100000000_0010000000
3,41,64,E Without octave key,0010110000000_1100000000,66,F# Without octave key (main),0010110000000_0100000000
3,46,58,Low Bb,0010110001000_1100101000,76,E With octave key,1010110000000_1100000000
3,48,58,Low Bb,0010110001000_1100101000,78,F# With octave key (main),1010110000000_0100000000
3,41,63,Eb Without octave key,0010110000000_1100110000,64,E Without octave key,0010110000000_1100000000
3,46,59,Low B,0010110010000_1100101000,77,F With octave key,1010110000000_1000000000
3,-1,67,G Without octave key,0010110000000_0000000000,68,G# Without octave key (default),0010111000000_0000000000
3,46,61,Low C#,0010110100000_1100101000,77,F With octave key,1010110000000_1000000000
3,48,58,Low Bb,0010110001000_1100101000,77,F With octave key,1010110000000_1000000000
3,44,69,A Without octave key,0010100000000_0000000000,87,High Eb,1000000000011_0000000000
3,44,70,Bb Without octave key (Bis key),0011100000000_0000000000,86,High D,1000000000001_0000000000
3,48,59,Low B,0010110010000_1100101000,78,F# With octave key (main),1010110000000_0100000000
3,42,81,A With octave key,1010100000000_0000000000,90,High F# (side),1000000000111_0010000100
3,48,60,Low C,0010110000000_1100101000,79,G With octave key,1010110000000_0000000000
3,43,60,Low C,0010110000000_1100101000,82,Bb With octave key (Bis key),1011100000000_0000000000
3,47,58,Low Bb,0010110001000_1100101000,78,F# With octave key (Chromatic),1010110000000_1001000000
3,48,60,Low C,0010110000000_1100101000,80,G# With octave key (default),1010111000000_0000000000
3,47,60,Low C,0010110000000_1100101000,78,F# With octave key (Chromatic),1010110000000_1001000000
3,43,59,Low B,0010110010000_1100101000,81,A With octave key,1010100000000_0000000000
3,-1,81,A With octave key,1010100000000_0000000000,88,High E,1000000000011_0000000100
3,-1,62,D Without octave key,0010110000000_1100100000,74,D With octave key,1010110000000_1100100000
3,47,61,Low C#,0010110100000_1100101000,80,G# With octave key (default),1010111000000_0000000000
3,41,66,F# Without octave key (main),0010110000000_0100000000,67,G Without octave key,0010110000000_0000000000
3,41,65,F Without octave key,0010110000000_1000000000,66,F# Without octave key (main),0010110000000_0100000000
3,43,61,Low C#,0010110100000_1100101000,83,B With octave key,1010000000000_0000000000
3,-1,60,Low C,0010110000000_1100101000,65,F Without octave key,0010110000000_1000000000
3,46,59,Low B,0010110010000_1100101000,76,E With octave key,1010110000000_1100000000
3,46,61,Low C#,0010110100000_1100101000,78,F# With octave key (main),1010110000000_0100000000
3,44,70,Bb Without octave key (side key),0010100000000_0000000000,87,High Eb,1000000000011_0000000000
3,44,70,Bb Without octave key (side key),0010100000000_0000000000,86,High D,1000000000001_0000000000
3,50,66,F# Without octave key (main),0010110000000_0100000000,82,Bb With octave key (side key),1010100000000_0000000001
3,49,82,Bb With octave key (Bis key),1011100000000_0000000000,88,High E,1000000000011_0000000100
3,44,69,A Without octave key,0010100000000_0000000000,86,High D,1000000000001_0000000000
3,50,65,F Without octave key,0010110000000_1000000000,82,Bb With octave key (side key),1010100000000_0000000001
4,-1,67,G Without octave key,0010110000000_0000000000,68,G# Without octave key (default),0010111000000_0000000000
4,54,68,G# Without octave key (default),0010111000000_0000000000,82,Bb With octave key (side key),1010100000000_0000000001
4,64,58,Low Bb,0010110001000_1100101000,75,Eb With octave key,1010110000000_1100110000
4,59,71,B Without octave key,0010000000000_0000000000,82,Bb With octave key (side key),1010100000000_0000000001
4,55,73,C# Without octave key,0000000000000_0000000000,86,High D,1000000000001_0000000000
4,52,82,Bb With octave key (side key),1010100000000_0000000001,86,High D,1000000000001_0000000000
4,57,65,F Without octave key,0010110000000_1000000000,89,High F (front),1100100000000_0000000000
4,64,59,Low B,0010110010000_1100101000,75,Eb With octave key,1010110000000_1100110000
4,51,66,F# Without octave key (main),0010110000000_0100000000,70,Bb Without octave key (Bis key),0011100000000_0000000000
4,51,66,F# Without octave key (main),0010110000000_0100000000,70,Bb Without octave key (side key),0010100000000_0000000000
4,51,76,E With octave key,1010110000000_1100000000,80,G# With octave key (default),1010111000000_0000000000
4,57,66,F# Without octave key (main),0010110000000_0100000000,89,High F (front),1100100000000_0000000000
4,58,58,Low Bb,0010110001000_1100101000,73,C# Without octave key,0000000000000_0000000000
4,51,66,F# Without octave key (Chromatic),0010110000000_1001000000,70,Bb Without octave key (Bis key),0011100000000_0000000000
4,63,66,F# Without octave key (Chromatic),0010110000000_1001000000,90,High F# (front),1100100000000_0010000000
4,51,66,F# Without octave key (Chromatic),0010110000000_1001000000,70,Bb Without octave key (side key),0010100000000_0000000000
4,61,77,F With octave key,1010110000000_1000000000,87,High Eb,1000000000011_0000000000
4,59,70,Bb Without octave key (Bis key),0011100000000_0000000000,82,Bb With octave key (side key),1010100000000_0000000001
4,58,59,Low B,0010110010000_1100101000,73,C# Without octave key,0000000000000_0000000000
4,64,61,Low C#,0010110100000_1100101000,75,Eb With octave key,1010110000000_1100110000
4,52,84,C With octave key,1000100000000_0000000000,90,High F# (side),1000000000111_0010000100
4,54,67,G Without octave key,0010110000000_0000000000,82,Bb With octave key (side key),1010100000000_0000000001
4,-1,60,Low C,0010110000000_1100101000,65,F Without octave key,0010110000000_1000000000
4,55,72,C Without octave key,0000100000000_0000000000,86,High D,1000000000001_0000000000
4,53,64,E Without octave key,0010110000000_1100000000,89,High F (front),1100100000000_0000000000
4,59,69,A Without octave key,0010100000000_0000000000,82,Bb With octave key (side key),1010100000000_0000000001
4,51,65,F Without octave key,0010110000000_1000000000,70,Bb Without octave key (side key),0010100000000_0000000000
4,58,58,Low Bb,0010110001000_1100101000,72,C Without octave key,0000100000000_0000000000
4,55,72,C Without octave key,0000100000000_0000000000,87,High Eb,1000000000011_0000000000
4,60,67,G Without octave key,0010110000000_0000000000,89,High F (front),1100100000000_0000000000
4,56,85,C# With octave key,1000000000000_0000000000,89,High F (side),1000000000111_0000000100
4,62,74,D With octave key,1010110000000_1100100000,86,High D,1000000000001_0000000000
4,52,83,B With octave key,1010000000000_0000000000,88,High E,1000000000011_0000000100
4,51,64,E Without octave key,0010110000000_1100000000,68,G# Without octave key (default),0010111000000_0000000000
4,62,74,D With octave key,1010110000000_1100100000,87,High Eb,1000000000011_0000000000
4,52,84,C With octave key,1000100000000_0000000000,88,High E,1000000000011_0000000100
4,52,83,B With octave key,1010000000000_0000000000,89,High F (side),1000000000111_0000000100
4,56,85,C# With octave key,1000000000000_0000000000,88,High E,1000000000011_0000000100
4,-1,81,A With octave key,1010100000000_0000000000,88,High E,1000000000011_0000000100
4,64,60,Low C,0010110000000_1100101000,75,Eb With octave key,1010110000000_1100110000
4,57,67,G Without octave key,0010110000000_0000000000,90,High F# (front),1100100000000_0010000000
