Filename,Note 1 MIDI,Note 2 MIDI,Best Trill Speed
Trill702.wav,63,67,5.934065934065934
Trill650.wav,51,62,1.1428571428571428
Trill662.wav,50,62,1.3784461152882206
Trill676.wav,49,58,2.798507462686567
Trill677.wav,47,49,1.4705882352941178
Trill663.wav,49,58,1.601423487544484
Trill651.wav,65,72,3.897550111358574
Trill703.wav,72,74,3.0100334448160533
Trill705.wav,66,72,3.8847117794486214
Trill679.wav,59,67,2.338129496402878
Trill665.wav,51,56,4.208416833667335
Trill690.wav,50,55,5.384615384615385
Trill691.wav,68,70,3.9503386004514676
Trill664.wav,72,75,2.89532293986637
Trill678.wav,48,54,0.8797653958944281
Trill704.wav,61,68,2.211302211302211
Trill708.wav,48,51,1.948051948051948
Trill674.wav,70,70,0.0
Trill668.wav,49,54,0.7936507936507937
Trill701.wav,69,76,2.6153846153846154
Trill700.wav,53,64,1.7175572519083968
Trill669.wav,71,74,3.0588235294117645
Trill675.wav,54,65,1.580135440180587
Trill709.wav,74,77,2.320185614849188
Trill707.wav,60,68,2.4
Trill667.wav,55,66,1.7333333333333334
Trill673.wav,47,51,1.6923076923076923
Trill661.wav,55,64,1.824817518248175
Trill660.wav,70,71,4.595879556259905
Trill672.wav,66,73,3.9603960396039604
Trill666.wav,72,78,1.7660044150110379
Trill706.wav,48,53,4.076086956521739
Trill644.wav,63,65,5.7894736842105265
Trill711.wav,46,51,1.4435695538057745
Trill671.wav,54,65,1.5384615384615385
Trill657.wav,59,68,2.0
Trill684.wav,73,74,8.26972010178117
Trill698.wav,55,65,1.936619718309859
Trill699.wav,66,78,0.8333333333333335
Trill685.wav,75,77,1.9337016574585635
Trill656.wav,67,70,3.7333333333333334
Trill670.wav,54,64,1.5590200445434297
Trill710.wav,55,66,1.6427104722792611
Trill658.wav,52,62,1.5294117647058822
Trill697.wav,64,70,4.355400696864112
Trill683.wav,51,55,4.524361948955917
Trill682.wav,58,67,2.1568627450980395
Trill696.wav,46,47,1.7543859649122806
Trill645.wav,46,49,0.7619047619047619
Trill659.wav,49,59,2.2813688212927756
Trill655.wav,54,64,1.5801354401805874
Trill649.wav,70,73,5.4607508532423195
Trill692.wav,49,51,1.7295597484276728
Trill686.wav,65,71,4.21195652173913
Trill687.wav,61,69,2.417582417582418
Trill693.wav,67,73,3.7333333333333334
Trill648.wav,66,72,3.160270880361174
Trill654.wav,75,78,1.580135440180587
Trill646.wav,73,75,6.410256410256411
Trill652.wav,70,72,5.012531328320802
Trill680.wav,56,66,1.8624641833810887
Trill689.wav,67,72,4.275092936802974
Trill695.wav,52,63,1.5895953757225434
Trill694.wav,53,63,1.7817371937639197
Trill688.wav,55,56,6.268221574344023
Trill681.wav,54,63,1.766304347826087
Trill653.wav,53,62,1.4672686230248309
Trill647.wav,61,70,2.1739130434782608
