Filename,Note 1 MIDI,Note 2 MIDI,Best Trill Speed
Trill338.wav,50,71,1.5492957746478875
Trill339.wav,65,75,1.8656716417910446
Trill316.wav,67,72,3.1767955801104972
Trill317.wav,49,60,1.4836795252225519
Trill329.wav,46,63,0.8421052631578947
Trill328.wav,58,61,4.4543429844097995
Trill367.wav,61,75,1.8950437317784252
Trill372.wav,47,63,1.267605633802817
Trill371.wav,61,74,1.8181818181818181
Trill366.wav,46,59,1.4354066985645935
Trill358.wav,55,56,4.810996563573883
Trill370.wav,48,61,1.3059701492537312
Trill364.wav,57,60,4.682274247491638
Trill365.wav,63,74,1.9337016574585635
Trill359.wav,49,63,1.3846153846153846
Trill374.wav,50,67,1.6320474777448073
Trill361.wav,54,56,4.181818181818182
Trill349.wav,47,60,1.0822510822510822
Trill348.wav,76,77,1.7175572519083968
Trill360.wav,55,77,1.3353115727002969
Trill373.wav,48,63,1.2345679012345678
Trill362.wav,46,58,1.2640449438202248
Trill375.wav,78,78,1.1565836298932386
Trill376.wav,54,78,0.7751937984496124
Trill363.wav,46,62,1.1111111111111112
Trill346.wav,56,58,4.5317220543806656
Trill352.wav,47,62,0.8571428571428571
Trill353.wav,50,70,1.5105740181268883
Trill347.wav,47,58,1.3846153846153846
Trill378.wav,52,73,1.5267175572519083
Trill351.wav,58,60,4.59016393442623
Trill345.wav,69,76,1.9607843137254903
Trill344.wav,57,59,4.784688995215311
Trill350.wav,49,64,1.0909090909090908
Trill377.wav,64,74,2.044025157232704
Trill354.wav,62,75,1.8518518518518516
Trill340.wav,51,72,1.4851485148514851
Trill368.wav,49,61,1.7401392111368912
Trill381.wav,51,73,1.6791044776119401
Trill369.wav,77,77,0.0
Trill341.wav,48,60,1.4577259475218658
Trill355.wav,55,57,4.153846153846154
Trill343.wav,63,75,1.8987341772151898
Trill357.wav,50,73,1.6320474777448073
Trill379.wav,47,59,1.5776699029126209
Trill380.wav,46,58,1.1688311688311688
Trill356.wav,50,62,1.4326647564469912
Trill342.wav,58,60,3.4220532319391634
Trill319.wav,48,53,2.923076923076923
Trill325.wav,48,64,1.0922330097087376
Trill331.wav,62,74,1.9163763066202093
Trill330.wav,77,78,1.2658227848101264
Trill324.wav,55,58,3.558718861209965
Trill318.wav,56,58,3.5816618911174785
Trill332.wav,51,67,1.6791044776119401
Trill326.wav,76,77,1.2893982808022921
Trill327.wav,51,68,1.3353115727002969
Trill333.wav,50,72,1.5050167224080266
Trill337.wav,55,58,5.298913043478261
Trill323.wav,58,60,4.0084388185654
Trill322.wav,59,61,5.038759689922481
Trill336.wav,63,65,4.3076923076923075
Trill320.wav,66,77,0.9043927648578812
Trill334.wav,64,75,1.7543859649122806
Trill335.wav,56,78,1.0769230769230769
Trill321.wav,56,77,0.9411764705882353
