Session,Cluster,Note 1 midi,Note 1 name,Note 1 encoding,Note 2 midi,Note 2 encoding,Note 2 encoding
0,53,59,Low B,0010110010000_1100101000,65,F Without octave key,0010110000000_1000000000
0,29,65,F Without octave key,0010110000000_1000000000,66,F# Without octave key (main),0010110000000_0100000000
0,-1,58,Low Bb,0010110001000_1100101000,62,D Without octave key,0010110000000_1100100000
0,-1,58,Low Bb,0010110001000_1100101000,66,F# Without octave key (main),0010110000000_0100000000
0,109,65,F Without octave key,0010110000000_1000000000,85,C# With octave key,1000000000000_0000000000
0,43,79,G With octave key,1010110000000_0000000000,90,High F# (side),1000000000111_0010000100
1,38,61,Low C#,0010110100000_1100101000,64,E Without octave key,0010110000000_1100000000
1,34,73,C# Without octave key,0000000000000_0000000000,91,High F# (front),1100100000000_0010000000
1,135,78,F# With octave key (main),1010110000000_0100000000,80,G# With octave key (default),1010111000000_0000000000
1,34,66,F# Without octave key (main),0010110000000_0100000000,84,C With octave key,1000100000000_0000000000
1,83,69,A Without octave key,0010100000000_0000000000,89,High F (front),1100100000000_0000000000
1,145,81,A With octave key,1010100000000_0000000000,90,High F# (side),1000000000111_0010000100
1,34,65,F Without octave key,0010110000000_1000000000,84,C With octave key,1000100000000_0000000000
1,44,68,G# Without octave key (default),0010111000000_0000000000,89,High F (front),1100100000000_0000000000
1,41,76,E With octave key,1010110000000_1100000000,89,High F (front),1100100000000_0000000000
1,135,78,F# With octave key (Chromatic),1010110000000_1001000000,80,G# With octave key (default),1010111000000_0000000000
1,145,81,A With octave key,1010100000000_0000000000,89,High F (side),1000000000111_0000000100
1,81,76,E With octave key,1010110000000_1100000000,86,High D,1000000000001_0000000000
1,7,63,Eb Without octave key,0010110000000_1100110000,82,Bb With octave key (Bis key),1011100000000_0000000000
1,41,77,F With octave key,1010110000000_1000000000,91,High F# (front),1100100000000_0010000000
1,7,59,Low B,0010110010000_1100101000,79,G With octave key,1010110000000_0000000000
1,34,66,F# Without octave key (main),0010110000000_0100000000,85,C# With octave key,1000000000000_0000000000
1,115,71,B Without octave key,0010000000000_0000000000,75,Eb With octave key,1010110000000_1100110000
1,34,64,E Without octave key,0010110000000_1100000000,83,B With octave key,1010000000000_0000000000
1,7,61,Low C#,0010110100000_1100101000,81,A With octave key,1010100000000_0000000000
1,38,60,Low C,0010110000000_1100101000,64,E Without octave key,0010110000000_1100000000
1,38,63,Eb Without octave key,0010110000000_1100110000,66,F# Without octave key (main),0010110000000_0100000000
1,38,64,E Without octave key,0010110000000_1100000000,67,F# Without octave key (Chromatic),0010110000000_1001000000
1,115,70,Bb Without octave key (side key),0010100000000_0000000000,75,Eb With octave key,1010110000000_1100110000
1,38,62,D Without octave key,0010110000000_1100100000,66,F# Without octave key (main),0010110000000_0100000000
1,115,70,Bb Without octave key (side key),0010100000000_0000000000,74,D With octave key,1010110000000_1100100000
1,34,67,F# Without octave key (Chromatic),0010110000000_1001000000,85,C# With octave key,1000000000000_0000000000
1,118,59,Low B,0010110010000_1100101000,67,F# Without octave key (Chromatic),0010110000000_1001000000
1,7,58,Low Bb,0010110001000_1100101000,79,G With octave key,1010110000000_0000000000
1,-1,58,Low Bb,0010110001000_1100101000,60,Low C,0010110000000_1100101000
1,83,71,B Without octave key,0010000000000_0000000000,89,High F (front),1100100000000_0000000000
1,-1,58,Low Bb,0010110001000_1100101000,59,Low B,0010110010000_1100101000
1,-1,58,Low Bb,0010110001000_1100101000,65,F Without octave key,0010110000000_1000000000
1,34,66,F# Without octave key (main),0010110000000_0100000000,83,B With octave key,1010000000000_0000000000
