Filename,Cluster,Midi 1 (transposed as written for TS),Fingering 1 Name,Fingering 1 Encoding,Midi 2 (transposed as written for TS),Fingering 2 Name,Fingering 2 Encoding,(Normalised) Trill Speed,Strength 0.2
Trill561.wav,100,74,D With octave key,1010110000000_1100100000,77,F With octave key,1010110000000_1000000000,5.752495255713568
Trill562.wav,106,68,G# Without octave key (default),0010111000000_0000000000,83,B With octave key,1010000000000_0000000000,1.689823481072828
Trill563.wav,105,71,B Without octave key,0010000000000_0000000000,85,C# With octave key,1000000000000_0000000000,1.9701677263418014
Trill564.wav,101,67,G Without octave key,0010110000000_0000000000,71,B Without octave key,0010000000000_0000000000,6.1589613203863145
Trill565.wav,107,64,E Without octave key,0010110000000_1100000000,78,F# With octave key (Chromatic),1010110000000_1001000000,1.5284720942054224
Trill566.wav,103,78,F# With octave key (Chromatic),1010110000000_1001000000,82,Bb With octave key (side key),1010100000000_0000000001,2.0712471993411095
Trill567.wav,-1,60,Low C,0010110000000_1100101000,65,F Without octave key,0010110000000_1000000000,4.467851745936815
Trill568.wav,100,75,Eb With octave key,1010110000000_1100110000,78,F# With octave key (main),1010110000000_0100000000,4.52118152534625
Trill569.wav,105,69,A Without octave key,0010100000000_0000000000,82,Bb With octave key (Bis key),1011100000000_0000000000,1.965827954096828
Trill570.wav,105,67,G Without octave key,0010110000000_0000000000,80,G# With octave key (default),1010111000000_0000000000,1.7327117737024014
Trill571.wav,100,78,F# With octave key (Chromatic),1010110000000_1001000000,80,G# With octave key (default),1010111000000_0000000000,4.173567882439439
Trill572.wav,105,69,A Without octave key,0010100000000_0000000000,83,B With octave key,1010000000000_0000000000,1.830637481170204
Trill573.wav,105,70,Bb Without octave key (side key),0010100000000_0000000001,83,B With octave key,1010000000000_0000000000,1.6609966389849826
Trill574.wav,105,68,G# Without octave key (default),0010111000000_0000000000,81,A With octave key,1010100000000_0000000000,1.7750206107664084
Trill575.wav,107,62,D Without octave key,0010110000000_1100100000,76,E With octave key,1010110000000_1100000000,1.1248262824142516
Trill576.wav,103,86,High D,1000000000001_0000000000,90,High F# (side),1000000000111_0010000100,4.7665364172155975
Trill577.wav,105,70,Bb Without octave key (Bis key),0011100000000_0000000000,83,B With octave key,1010000000000_0000000000,1.3505612679033348
Trill578.wav,105,70,Bb Without octave key (Bis key),0011100000000_0000000000,84,C With octave key,1000100000000_0000000000,1.8106140976699239
