Filename,Cluster,Player,Session,Midi 1 (transposed as written for TS),Fingering 1 Name,Fingering 1 Encoding,Midi 2 (transposed as written for TS),Fingering 2 Name,Fingering 2 Encoding,Trill Speed
Trill0.wav,7,DorianGray,0,64,E Without octave key,0010110000000_1100000000,89,High F (side),1000000000111_0000000100,1.5759312320916905
Trill1.wav,0,DorianGray,0,82,Bb With octave key (Bis key),1011100000000_0000000000,83,B With octave key,1010000000000_0000000000,3.2
Trill2.wav,3,DorianGray,0,59,Low B,0010110010000_1100101000,90,High F# (side),1000000000111_0010000100,1.0025062656641603
Trill3.wav,1,DorianGray,0,63,Eb Without octave key,0010110000000_1100110000,64,E Without octave key,0010110000000_1100000000,4.615384615384615
Trill4.wav,4,DorianGray,0,61,Low C#,0010110100000_1100101000,89,High F (side),1000000000111_0000000100,1.6064257028112447
Trill5.wav,9,DorianGray,0,66,F# Without octave key (main),0010110000000_0100000000,89,High F (side),1000000000111_0000000100,1.3846153846153846
Trill6.wav,0,DorianGray,0,80,G# With octave key (default),1010111000000_0000000000,81,A With octave key,1010100000000_0000000000,4.011461318051576
Trill7.wav,9,DorianGray,0,65,F Without octave key,0010110000000_1000000000,89,High F (side),1000000000111_0000000100,1.5037593984962405
Trill8.wav,5,DorianGray,0,59,Low B,0010110010000_1100101000,87,High Eb,1000000000011_0000000000,1.6363636363636365
Trill9.wav,5,DorianGray,0,60,Low C,0010110000000_1100101000,87,High Eb,1000000000011_0000000000,1.6363636363636365
Trill10.wav,1,DorianGray,0,64,E Without octave key,0010110000000_1100000000,66,F# Without octave key (main),0010110000000_0100000000,4.769230769230769
Trill11.wav,3,DorianGray,0,58,Low Bb,0010110001000_1100101000,90,High F# (side),1000000000111_0010000100,0.9333333333333333
Trill12.wav,1,DorianGray,0,66,F# Without octave key (Chromatic),0010110000000_1001000000,67,G Without octave key,0010110000000_0000000000,4.181818181818182
Trill13.wav,-1,DorianGray,0,62,D Without octave key,0010110000000_1100100000,74,D With octave key,1010110000000_1100100000,1.447661469933185
Trill14.wav,-1,DorianGray,0,67,G Without octave key,0010110000000_0000000000,68,G# Without octave key (default),0010111000000_0000000000,4.927007299270072
Trill15.wav,4,DorianGray,0,60,Low C,0010110000000_1100101000,88,High E,1000000000011_0000000100,1.1705685618729096
Trill16.wav,9,DorianGray,0,64,E Without octave key,0010110000000_1100000000,88,High E,1000000000011_0000000100,1.06951871657754
Trill17.wav,6,DorianGray,0,62,D Without octave key,0010110000000_1100100000,90,High F# (side),1000000000111_0010000100,1.2
Trill18.wav,2,DorianGray,0,59,Low B,0010110010000_1100101000,88,High E,1000000000011_0000000100,1.5075376884422111
Trill19.wav,1,DorianGray,0,64,E Without octave key,0010110000000_1100000000,65,F Without octave key,0010110000000_1000000000,7.116788321167883
Trill20.wav,9,DorianGray,0,66,F# Without octave key (Chromatic),0010110000000_1001000000,89,High F (side),1000000000111_0000000100,1.3846153846153846
