id;pitch_bigrams_values
BobBerg_SecondSight_FINAL.sv;70,72:72,70:70,68:63,65:68,67:68,70:72,68:67,65:68,65:62,58:65,62:65,61:65,70:63,62:74,70:65,63:67,66:65,58:58,63:60,60:56,53:62,62:63,61:58,53:67,63:58,60:62,65:58,70:62,60:61,58:56,58:53,56:60,62:73,72:70,71:66,67:66,65:65,64:64,63:65,66:56,63:70,67:66,68:67,67:72,73:61,62:60,56:62,63:70,65:61,56:53,51:55,65:65,67:63,58:58,55:53,58:72,74:68,68:68,73:73,73:75,74:65,68:60,67:60,63:70,70:71,70:69,70:58,56:61,63:75,70:63,68:67,68:67,70:70,73:73,70:71,73:73,75:58,62:72,67:53,61:65,74:65,72:68,69:69,65:53,49:49,53:51,53:53,55:55,63:53,48:48,51:51,50:50,53:68,63:63,75:63,60:74,74:72,72:70,69:66,64:64,65:63,67:62,53:53,60:51,48:48,50:50,58:58,58:58,61:61,57:57,59:59,61:70,75:66,63:70,66:63,70:62,56:61,65:68,66:75,72:61,68:65,60:70,77:77,79:79,77:77,74:74,75:62,72:58,72:61,70:70,63:75,77:77,75:75,73:73,68:67,78:78,79:79,75:60,58:68,71:73,66:67,69
BobBerg_YouAndTheNightAndTheMusic_FINAL.sv;68,67:67,68:65,64:65,67:64,63:67,65:67,66:67,67:70,68:66,65:70,72:72,68:63,67:64,65:70,70:59,60:63,65:67,64:64,67:68,70:65,68:62,60:55,57:57,59:62,59:60,64:69,65:68,65:67,72:63,61:61,58:67,69:61,59:79,79:63,62:60,59:72,67:58,56:59,62:67,63:58,53:72,70:69,70:65,63:53,56:65,65:71,67:56,55:74,72:68,69:63,60:53,58:68,66:68,68:66,67:60,58:66,64:67,70:67,71:64,62:62,67:65,69:69,69:68,64:72,74:55,56:72,72:72,75:69,72:65,62:65,61:79,77:73,71:59,55:77,79:72,69:56,60:60,65:62,63:65,66:68,71:71,74:59,63:59,56:69,68:75,72:60,56:56,53:53,46:46,53:53,50:50,46:59,57:75,74:58,58:53,57:59,69:56,65:58,55:56,61:57,55:59,61:68,72:75,79:56,62:62,65:71,73:59,65:60,63:71,75:58,59:69,71:77,75:71,72:57,60:58,65:65,70:59,53:67,62:69,67:63,64:70,75:66,70:64,61:61,67:46,44:44,55:57,62:56,59:74,69:70,65:57,58:58,57:61,68:77,73:55,68:67,45:45,51:51,56:56,51:51,53:69,63:61,65:73,73:73,70:70,66:66,61:79,76:76,72:72,77:79,75:64,69:59,54:54,56:65,59:60,66:66,68:65,53:56,58:60,62:46,45:45,44:44,67:72,45:45,53:57,57:57,53:74,74:74,73:73,77:75,76:76,71:64,70:70,69:70,67:59,59:63,59:55,60:75,77:64,58:58,60:75,73:74,75:75,67:67,75:75,71:60,70:64,59:59,58:56,52:52,55
BranfordMarsalis_GutBucketSteepy_FINAL.sv;58,61:61,58:70,71:61,63:71,68:64,65:68,70:63,61:65,66:61,64:64,61:66,65:56,58:71,70:65,61:58,56:63,64:68,66:65,63:58,54:54,58:59,58:66,64:57,58:65,68:52,53:70,68:61,66:63,65:66,63:58,64:56,59:63,58:66,67:56,54:53,56:68,68:76,73:68,71:53,54:64,63:73,70:65,56:67,68:56,56:58,58:62,65:66,62:63,60:61,59:73,76:61,56:58,59:54,57:56,55:71,71:54,51:51,52:52,52:70,73:69,70:70,66:70,65:67,66:58,62:65,65:66,66:54,61:54,52:68,64:61,61:59,57:64,66:59,61:58,63:58,53:56,53:59,64:62,59:55,54:54,54:51,54:66,61:61,65:61,60:49,49:49,51:51,51:53,53:59,56:73,69:64,62:62,61:61,73:64,58:65,58:68,73:73,67:56,57:57,57:62,62:60,56:61,72:72,73:73,72:72,70:62,49:49,56:58,68:56,73:73,71:68,67:66,58:65,53:53,64:67,64:64,56:66,56:56,64:57,59:64,69:69,66:63,67:67,67:67,65:65,62:62,58:58,55:55,63:60,61:58,52:52,56:56,49:49,52:56,71:71,72:72,71:59,76:68,61:70,69:69,68:63,62:66,69:66,60:60,66:60,58:51,53:53,51:54,56:60,65:68,63:60,59:58,49:52,49:54,55:55,58:58,57:57,56:55,56:59,54:54,59:59,59:56,61
BranfordMarsalis_HousedFromEdward-1_FINAL.sv;60,62:69,70:62,60:70,69:65,60:67,65:65,67:58,60:60,58:63,65:65,62:64,65:62,58:58,55:67,67:60,63:57,58:57,60:65,69:61,61:65,64:57,55:60,60:69,67:62,65:69,69:55,57:69,65:63,62:60,57:66,69:68,69:65,63:62,63:61,62:64,60:67,64:58,56:64,67:72,69:67,69:62,61:58,53:60,61:60,65:61,63:56,57:60,55:67,66:69,68:63,58:63,60:65,61:58,57:62,57:72,70:55,53:55,58:72,72:68,65:53,55:61,58:66,64:55,56:70,72:59,60:67,62:70,68:64,62:61,65:53,60:62,64:69,72:70,70:67,68:53,57:63,61:59,59:65,66:56,60:66,65:62,66:58,59:68,64:53,56:56,53:55,54:58,62:68,70:58,65:70,66:59,62:55,52:60,59:60,56:65,65:62,53:69,61:61,56:61,60:62,59:58,54:63,67:57,57:58,58:59,58:60,68:69,63:66,61:61,67:60,67:55,60:68,67:63,64:57,53:53,58:54,57:70,65:65,68:72,74:74,72:68,62:58,64:62,68:60,64:64,66:64,59:49,58:58,61:59,64:56,63:57,62:56,55:61,72:55,64:64,64:52,55:66,67:53,48:55,68:68,60:62,48:48,50:50,53:56,61:59,61:54,60:70,61:61,69:69,59:62,73:73,68:64,57:57,66:67,60:55,63:54,63:64,63:61,59:57,54:54,55:67,72:72,77:77,75:75,72:72,65:63,68:68,66:66,63:63,70:70,63:58,67:64,61:68,68:64,68:59,63:67,63:52,58:53,51:51,55:55,49:57,51:51,54:54,51:51,49:56,52:52,57:55,59:59,55:52,50:50,48:48,46:46,46:46,45:45,44:44,56:62,69:55,61:61,57:62,55:58,68:59,56:56,59:63,59:56,58:56,49:49,53:62,62:64,58:55,67:74,73:73,72:62,67:63,66:69,74:53,50:50,54:54,52:52,62:60,69:69,60:67,58:57,65:69,57:63,69:56,62:54,50:50,52:55,48:48,60:58,63:48,56:48,51
BranfordMarsalis_HousedFromEdward-2_FINAL.sv;68,65:65,68:68,68:67,68:60,62:68,67:62,60:65,62:67,65:60,58:65,67:65,60:62,65:58,53:63,60:57,58:62,58:51,53:53,56:62,63:62,68:65,65:53,55:55,57:56,57:67,67:58,57:57,55:58,60:60,67:58,63:63,61:61,62:53,51:56,51:53,58:58,62:63,65:68,62:65,63:57,53:53,53:57,60:60,63:60,71:71,72:72,71:71,70:70,68:68,71:71,68:53,57:58,59:59,60:60,52:52,53:55,56:57,54:54,57:55,54:54,55:55,58:58,58:57,59:59,67:67,69:69,67:67,64:64,65:62,64:64,60:60,57:58,55:55,53
BranfordMarsalis_TheNearnessOfYou_FINAL.sv;59,62:62,57:57,62:62,59:69,66:66,69:64,62:62,58:66,64:66,67:62,61:64,60:59,57:54,57:60,64:64,66:58,62:62,64:64,67:67,66:55,57:67,64:61,62:57,54:57,59:67,69:57,57:71,69:57,55:62,55:57,58:69,68:69,71:63,64:55,59:66,62:65,66:69,67:62,67:65,62:60,62:62,63:58,54:55,55:57,60:61,60:55,54:59,55:60,57:52,55:54,55:69,69:65,63:57,64:60,59:61,59:57,56:62,62:62,66:64,65:55,62:55,52:60,58:59,58:58,58:58,55:56,55:68,69:64,69:67,71:59,59:58,81:81,58:63,65:64,64:54,54:67,62:59,61:57,52:52,54:54,50:58,60:56,56:67,63:63,58:53,51:72,69:63,60:58,59:58,57:57,61:65,64:69,57:54,52:67,67:67,65:54,53:71,67:64,59:66,66:57,66:66,68:69,62:66,57:61,57:55,53:53,54:55,50:50,58:58,53:58,65:70,65:65,69:69,64:54,60:62,65:60,54:54,61:55,56:58,61:61,64:69,70:70,69:68,67:67,70:70,67:51,53:51,52:60,61:66,65:66,63:70,72:61,61:52,50:61,55:62,54:59,60:56,59:69,74:74,73:73,72:72,71:53,52:63,66:51,54:57,63:59,66:54,51:68,66:62,69:50,57:71,71:71,74:56,57:58,63:57,65:50,53:53,50:53,62:62,70:65,72:72,74:74,70:69,45:45,71:54,62:63,63:63,62:50,51:51,60:56,58:71,66:58,51:52,57:71,72:68,71:62,50:50,54:64,58:58,66:58,83:83,58:52,62:59,54:61,63:52,52:50,50:50,46:46,57:57,69:54,64:64,61:60,56:60,65:62,60:50,62:70,71:71,70:69,72:72,66:69,63:66,60:60,63:63,57:57,51:63,59:61,66:52,51:51,57:64,57:53,60:55,64:58,69:57,67:67,57:67,61:62,71:69,65:60,69:74,69:71,58:63,61:54,59:65,65:58,56:55,51:52,70:63,67:51,58:51,48:48,49:49,48:48,46:46,45:45,57:74,71:64,46:46,63:56,63:71,73:73,74:74,72:72,70:70,66:68,70:68,64:59,56
BranfordMarsalis_ThreeLittleWords_FINAL.sv;67,67:63,64:64,65:64,67:67,69:67,64:62,64:58,55:67,65:65,67:55,57:64,60:65,62:60,55:66,67:65,64:59,60:64,62:57,60:69,69:60,63:60,62:70,67:65,66:63,60:64,64:69,70:55,53:55,58:58,59:64,63:69,67:53,58:68,67:67,70:67,63:63,63:64,55:66,68:60,58:60,64:68,70:67,66:62,63:69,68:64,61:62,59:68,69:62,62:62,65:55,60:60,59:69,65:62,61:61,62:57,59:70,68:68,68:64,66:61,63:63,65:70,69:69,66:66,65:57,55:55,50:59,63:59,64:60,57:61,59:67,68:65,63:61,58:63,61:58,63:59,55:62,60:62,57:62,58:58,57:65,68:61,64:59,62:66,63:55,52:71,67:50,52:52,58:68,66:65,65:59,61:72,71:60,60:57,62:57,58:58,62:65,69:60,65:68,65:65,61:59,57:54,55:67,72:58,60:67,71:52,53:61,56:57,53:53,55:66,61:72,67:67,60:60,56:56,53:55,55:71,72:71,68:55,59:59,58:50,53:53,52:52,55:66,62:62,55:57,63:63,59:64,59:68,64:70,71:66,69:55,54:70,70:57,57:62,66:55,56:53,57:57,61:53,50:50,59:56,58:60,67:58,58:62,67:69,64:69,72:70,66:68,71:66,64:55,65:68,62:63,66:56,62:55,70:64,70:72,70:70,72:72,68:67,55:53,64:72,75:75,76:76,72:72,69:69,57:57,69:63,69:70,65:56,57:57,52:53,56:56,60:57,54:54,67:53,51:51,52:52,61:65,60:63,55:57,50:65,57:59,67:66,66:61,61:61,57:57,64:54,60:55,67:63,62:55,51:51,55:62,69:70,62:58,67:58,65:55,64:50,58:52,50:52,48:48,57:67,62:67,56:56,52:52,56:56,50:50,64:62,56:56,59:53,59:64,68:68,63:63,68:63,67:56,54:71,66:59,54:55,72:72,72:69,62:67,46:46,53:59,65:65,70:60,66
BranfordMarsalis_U.M.M.G._FINAL.sv;63,58:61,58:63,65:65,63:61,63:58,63:68,68:68,66:66,65:58,56:56,58:63,60:65,68:69,68:58,61:60,58:58,60:68,70:65,66:65,61:68,65:71,69:63,61:66,68:60,63:71,70:70,71:70,68:69,71:56,54:64,65:65,65:68,71:58,54:66,64:65,67:58,55:59,56:67,65:69,72:56,56:62,58:73,69:68,69:62,64:69,66:70,67:72,69:63,68:63,62:70,65:62,63:53,56:60,61:54,56:60,57:55,60:67,63:72,68:61,59:68,72:58,62:59,64:64,59:59,66:66,69:66,62:64,62:65,70:64,68:69,73:67,67:66,66:60,55:71,68:56,59:61,65:58,59:56,63:69,69:53,54:66,61:51,58:57,59:65,64:67,66:61,57:57,55:59,57:69,65:67,69:71,73:68,67:60,62:68,64:64,66:54,59:60,56:65,69:59,63:51,53:58,65:69,70:62,65:54,51:61,60:56,61:62,61:57,56:63,67:67,68:63,69:58,64:55,63:70,72:58,58:64,64:67,70:56,53:65,60:56,60:70,70:52,54:62,59:71,71:68,63:51,60:54,53:66,67:57,58:61,62:62,60:60,64:52,53:65,62:61,61:72,73:73,74:74,73:73,71:69,64:63,63:66,70:75,77:77,79:69,67:57,53:64,61:57,54:70,66:54,58:73,70:68,61:59,58:58,70:54,52:52,56:44,46:65,58:70,69:63,66:63,59:57,60:56,57:55,53:53,53:59,61:71,66:64,67:48,49:49,51:53,51:51,50:50,53:53,52:52,50:50,51:54,63:58,51:63,51:62,57:63,64:57,52:53,57:57,61:61,64:51,61:73,72:73,73:55,61:64,55:55,62:64,60:58,69:70,75:79,80:80,53:53,61:59,55:55,56:70,73:72,70:72,72:72,65:55,64:64,69:59,52:54,46:46,51:51,46:46,44:46,53:53,58:66,63:65,71:54,61:60,53:53,60:60,52:52,59:59,54:54,57:56,65:64,71:61,67:67,62:66,60:64,58:62,56:58,52:54,55:55,50:50,52:54,48:68,44:46,48:73,75:79,81:81,82:82,85:85,84:84,69:63,70:67,61:61,69:59,68:59,67:55,65:55,51:58,53:53,55:55,58:55,57:53,48:48,56:56,52:54,50:50,55:55,71:64,63:54,62:55,66:58,57:72,74:74,75:75,73
ChrisPotter_Anthropology_FINAL.sv;69,68:68,67:65,67:61,63:67,66:68,69:65,63:66,69:58,62:60,59:66,65:69,66:64,66:66,68:68,66:67,70:63,65:63,62:62,60:60,62:64,61:73,69:66,64:69,71:71,69:68,65:54,53:57,55:62,63:63,64:64,68:66,67:58,55:71,68:66,63:56,57:62,64:69,64:64,65:67,68:67,63:65,61:53,55:55,56:54,56:62,66:67,69:70,72:70,69:59,56:56,54:55,58:68,71:74,72:74,73:70,67:72,74:69,72:72,71:63,58:58,53:59,61:58,54:61,66:62,65:63,67:66,61:61,57:60,57:55,53:56,55:51,50:61,62:64,62:62,61:61,60:69,70:52,51:51,53:61,64:65,69:68,64:57,61:60,58:75,74:71,73:72,68:65,68:62,58:64,67:52,54:57,56:59,60:75,73:63,66:68,68:71,72:65,70:63,69:57,54:55,60:53,51:50,48:50,54:52,53:53,50:53,58:60,60:65,64:59,58:62,57:57,53:53,60:57,58:63,59:55,52:53,57:57,60:61,56:56,52:60,63:69,73:68,70:70,66:64,59:56,58:58,60:67,72:72,67:74,77:77,76:64,71:73,71:71,67:67,71:71,70:69,65:74,65:67,65:65,62:67,62:68,63:53,52:58,59:65,66:66,70:61,59:63,61:66,71:70,68:54,59:73,75:54,57:54,58:58,61:72,69:82,79:79,75:72,77:63,68:67,64:70,65:55,54:54,55:53,56:48,46:46,47:47,54:55,51:54,52:50,46:46,50:50,44:44,53:59,63:72,70:56,65:48,47:47,58:60,64:58,66:56,60:70,62:73,61:63,60:60,65:62,67:67,60:72,65:65,74:69,76:76,74:76,75:67,67:65,72:62,76:76,79:79,80:80,76:76,72:73,72:72,66:71,74:71,64:59,68:62,62:57,59:54,61:59,57:51,52:73,65:67,74:59,47:47,50:53,54:66,74:74,76:76,81:81,87:87,84:84,82:77,82:75,72:77,74:74,70:69,74:74,71:70,64:68,62:66,60:61,61:59,65:65,45:45,49:49,52:55,49:49,54:52,57:66,62:59,62:64,60:60,66:53,68:68,55:60,61:61,58:54,51:51,48:48,49:49,57:53,48:48,51:50,59:72,73:73,70:70,73:73,73:69,75:76,77:77,79:79,77:77,75:70,74
ChrisPotter_Arjuna_FINAL.sv;66,67:67,68:76,78:68,66:61,62:62,65:67,67:65,62:60,61:78,76:67,66:69,71:66,65:65,66:71,69:67,65:73,71:67,69:65,67:78,81:62,61:64,66:61,60:68,67:71,73:62,60:72,71:54,52:69,67:60,62:62,64:71,72:52,54:66,69:66,64:66,62:62,67:73,72:81,76:69,65:69,66:76,76:78,78:65,60:49,50:50,53:66,68:59,61:57,59:66,61:59,54:69,68:50,49:54,59:81,83:68,69:59,60:56,57:55,54:54,57:62,57:62,59:64,67:59,62:50,52:69,62:66,70:81,78:53,54:57,54:64,69:66,71:71,71:65,61:62,63:57,56:55,53:60,56:53,50:58,62:55,57:74,76:71,74:68,71:71,66:61,66:56,59:52,56:70,66:76,77:58,53:59,57:53,51:54,58:72,77:65,65:63,60:68,73:71,68:68,64:62,66:64,62:57,55:53,55:60,60:57,53:52,50:63,62:57,61:61,57:72,69:69,64:64,59:59,55:52,55:55,50:49,59:59,52:56,54:76,75:71,70:67,72:72,67:62,69:70,68:77,78:74,72:67,64:59,64:54,55:83,76:83,78:75,73:77,76:76,73:61,58:58,54:56,58:68,70:62,58:74,73:50,55:61,65:60,59:72,68:61,59:45,60:60,57:55,56:53,48:48,49:50,45:53,57:57,58:76,74:79,76:71,67:67,62:57,52:79,81:76,79:79,78:78,74:76,71:47,50:73,68:61,56:54,49:54,51:52,59:54,53:65,72:65,64:64,63:62,72:62,73:69,69:78,79:74,75:75,76:72,74:69,70:63,64:58,59:65,63:52,53:51,50:78,52:78,75:80,78:78,77:58,61:67,74:60,58:58,55:61,67:50,48:48,50:59,45:56,53:56,60:49,52:56,62:64,65:57,67:66,73:69,76:74,77:77,79:74,71:50,79:74,69:52,47:45,47:52,68:64,68:66,63:63,59:52,49:51,59:56,52:53,59:72,62:65,74:74,62:65,73:73,74:74,79:75,70:70,67:67,63:63,72:63,68:68,65:65,69:72,66:67,60:72,60:71,61:65,71:71,65:72,76:77,69:70,73:73,70:70,61:61,63:64,58:60,63:59,58:54,67:63,65:59,59:59,56:53,52:51,53:49,48:48,47:47,46:46,47:47,45:45,67:71,59:69,60:60,64:64,57:59,66:69,72:71,76:57,64:57,66:64,71:71,64:69,75:75,77:78,83:81,81:81,82:82,83:76,81:71,82:82,80:83,80:73,76:83,81:73,73:68,72:61,64:75,74:75,78:75,68:70,75:71,63:63,66:54,56:58,56:73,75:70,71:49,54:54,50:49,55:49,56:56,50:51,62:58,63:77,50:49,53:53,49:55,60:66,74:77,49:55,49:64,60:70,74:77,61:55,52:58,50:53,58:60,67:77,62:70,72:67,61:72,78:79,80:80,73:73,78:70,69:63,61:51,49:52,52:50,71:64,64:62,62
ChrisPotter_InASentimentalMood_FINAL.sv;65,68:68,69:71,67:67,69:69,71:70,72:64,65:64,67:62,65:58,57:69,72:69,70:65,64:72,75:60,58:60,64:65,60:71,68:77,76:75,71:67,64:72,70:60,62:72,68:68,73:75,72:68,65:61,64:69,67:67,65:65,67:63,64:64,60:65,66:72,76:74,76:76,77:72,73:68,64:58,60:62,62:69,69:67,60:68,72:56,57:57,60:67,71:74,69:73,75:65,62:62,60:69,60:60,60:69,65:57,55:55,57:64,68:67,66:66,67:60,57:71,74:71,65:66,71:79,78:78,77:76,75:70,66:76,79:79,84:79,77:76,74:77,79:74,75:75,76:78,79:79,81:66,69:63,66:63,60:57,62:57,58:70,71:71,69:60,59:62,57:59,60:72,67:67,68:66,70:70,68:75,80:68,61:61,65:65,63:77,75:53,55:55,56:72,71:67,67:67,72:72,74:67,70:65,65:60,67:70,69:60,53:53,58:57,61:69,68:64,63:57,57:57,69:74,71:75,79:71,70:66,63:63,61:61,62:65,69:84,81:81,86:86,84:84,83:83,82:82,81:81,79:79,74:76,72:72,69:76,78:81,78:84,61:61,79:81,77:79,76:77,74:76,73:73,70:70,74:73,69:69,66:64,70:66,61:61,68:64,66:76,80:80,78:78,75:71,66:66,68:73,63:66,59:59,63:60,56:56,51:51,58:57,65:60,61:73,74:59,62:57,52:52,59:59,56:62,59:74,72:68,71:69,63:80,79:68,63:66,62:62,66:72,65:70,65:63,52:52,53:53,56:56,55:55,53:53,54:54,56:56,58:58,61:60,63:57,56:56,54:54,53:53,51:51,49:49,48:48,46:46,45:45,44:44,46:46,49:49,51:51,53:53,48:48,57:57,59:59,52:52,62:57,66:66,60:60,70:71,72:75,73:73,72:73,65:68,68:80,77:75,77:77,72:64,62
ChrisPotter_Item1,D.I.T._FINAL.sv;68,69:69,68:65,66:63,62:70,68:66,65:65,64:68,70:63,65:68,66:67,65:67,68:71,69:68,67:72,70:73,71:66,68:73,72:71,70:62,63:65,63:71,73:64,63:66,70:61,58:65,67:56,57:61,63:67,69:74,73:70,67:70,71:67,66:72,71:68,65:63,61:61,60:69,67:73,74:69,71:70,69:62,61:61,59:71,68:69,70:60,59:64,67:64,65:65,61:75,73:65,68:53,54:70,72:66,64:60,61:68,68:58,55:55,56:66,67:56,55:66,63:59,61:61,62:62,64:69,72:58,56:63,68:58,61:57,55:60,58:68,71:62,65:55,53:54,58:55,54:54,53:51,53:60,57:60,64:70,66:71,72:55,60:70,73:72,73:58,57:64,62:59,63:63,66:56,58:58,60:59,56:72,75:67,63:69,61:57,53:52,51:49,51:51,56:53,51:53,56:53,52:57,60:69,66:74,71:64,60:72,68:57,58:59,62:62,66:75,74:73,75:63,67:74,72:61,65:66,69:56,54:55,61:65,65:48,50:52,53:58,59:49,50:71,67:64,66:63,60:62,60:62,70:57,56:73,73:57,61:61,64:71,74:77,76:79,78:76,75:69,65:70,65:67,70:70,63:69,69:59,58:57,59:65,69:59,60:54,56:58,63:73,69:71,75:60,63:72,69:57,54:53,49:51,50:49,48:48,49:50,54:54,57:66,62:68,64:56,59:69,73:59,57:73,70:58,62:72,74:60,62:70,70:75,77:81,80:51,52:67,73:69,63:82,85:83,82:63,63:63,70:68,61:65,71:62,59:70,64:63,73:59,55:61,70:63,58:54,52:45,51:51,51:51,55:50,55:50,49:51,49:51,54:54,59:75,76:73,68:63,71:67,71:67,64:64,61:66,61:61,71:66,66:64,69:66,72:70,62:67,67:50,51:51,44:53,55:55,51:64,68:68,72:74,75:75,75:78,76:76,77:70,75:78,79:82,84:84,82:78,77:74,76:82,81:76,74:63,64:68,73:68,63:73,51:52,56:71,65:77,79:75,72:44,51:69,64:64,70:67,72:85,87:88,85:85,84:84,83:80,79:81,83:83,85:89,89:86,84:67,62:72,72:53,50:50,48:50,52:58,68:55,55:55,58:54,50:50,47:47,55:52,45:55,52:50,58:57,49:51,48:54,48:50,53:48,46:46,45:45,50:57,47:47,51:58,64:76,73:62,74:64,72:63,59:58,54:54,72:71,66:62,58:61,57:70,49:49,54:54,51:44,57:58,52:51,45:54,49:50,59:72,66:61,67:75,71:68,81:81,78:77,68:76,76:77,78:79,82:82,80:80,78:76,80:80,82:80,76:73,61:70,60:64,64:69,57:57,66:56,52:64,57:61,56:56,63:55,59:48,76:60,75:64,71:65,70:73,67:76,69:79,81:81,82:85,48:68,74:68,44:51,58:56,48:50,45:45,57:56,60:62,68:65,53:56,61:68,62:62,57:54,71:67,74:59,50:61,55:52,50:53,57:65,62:61,66:66,71:60,69:61,73:51,47:47,67:71,71:72,67:65,73:59,65:59,51:64,49:55,57:67,53:77,82:87,88:88,88:80,80:73,80:80,81:87,89:89,81:82,79:79,73:71,76:76,71:74,77:76,79:78,81:79,83:85,86:84,86:84,88:85,45:45,46:46,47:47,48:54,55:52,55:60,55:53,58:58,53:49,47:47,46:46,48:48,51:56,53:67,75:75,67:69,77
ChrisPotter_PopTune#1_FINAL.sv;70,67:67,70:65,67:55,53:67,65:67,69:70,70:62,65:72,70:65,62:69,67:65,65:70,72:60,58:75,77:64,64:58,53:62,60:77,74:74,72:53,55:79,77:58,55:53,58:58,60:69,65:69,70:70,71:65,70:67,62:72,67:64,65:69,72:72,69:65,63:68,69:66,67:71,67:70,68:69,68:72,74:74,67:70,65:60,60:65,64:67,67:72,71:65,66:68,65:77,75:77,79:57,58:53,50:55,60:60,62:65,69:67,68:70,69:71,72:72,73:73,74:72,72:55,55:53,57:50,55:58,59:60,55:55,58:81,79:67,66:71,70:70,66:76,77:73,72:66,70:69,71:77,70:81,77:67,75:74,73:76,75:64,62:63,68:62,69:62,64:65,61:68,72:68,70:63,65:68,66:79,81:69,69:63,58:75,74:60,63:67,77:59,60:61,62:62,67:64,60:60,65:67,71:60,61:66,71:71,65:57,60:68,67:62,58:66,69:63,61:63,66:77,82:58,65:62,55:55,67:67,58:53,48:61,58:67,64:63,60:69,64:66,65:63,62:61,60:60,57:76,71:65,68:58,62:71,73:72,75:71,68:61,63:74,77:73,75:77,80:77,81:67,72:72,68:66,63:68,71:71,66:73,70:64,63:56,58:79,76:75,76:80,79:80,76:82,80:50,53:55,61:59,55:65,58:55,59:58,61:60,72:60,59:65,57:68,63:60,56:56,51:58,57:57,55:77,72:48,46:46,53:59,67:65,72:66,64:61,64:61,59:78,73:59,62:68,62:68,61:66,62:67,60:55,57:50,48:52,55:74,79:70,74:67,79:58,63:67,63:64,70:75,78:58,67:64,68:63,67:72,65:61,65:58,56:49,51:66,68:71,74:74,69:70,73:75,71:82,79:62,63:69,73:74,76:77,76:53,56:65,71:73,67:79,80:71,76:69,63:69,66:50,60:61,55:70,60:59,53:58,50:48,53:62,61:57,64:64,56:56,63:51,50:55,64:58,58:60,64:72,77:57,59:71,75:75,81:72,76:76,72:72,64:58,76:77,78:73,76:64,67:53,54:54,54:54,55:59,58:61,57:73,78:78,79:75,68:70,75:75,73:73,65:67,73:73,71:71,64:64,66:64,72:70,62:66,59:59,61:65,77:62,57:60,53:57,50:48,50:50,50:50,52:75,72:80,73:74,81:65,78:78,81:71,69:72,46:48,55:55,51:51,58:65,54:54,61:61,66:66,61:61,75:75,67:63,69:65,60:60,70:78,82:82,84:84,87:87,67:55,50:46,65:57,53:53,52:70,76:59,65:60,66:70,61:56,72:67,61:58,70:58,44:44,46:46,49:51,54:54,56:56,69:58,79:80,78:78,84:84,81:81,78:78,75:71,79:79,82:73,69:63,70:74,74:64,69:73,79:61,56:51,53:53,49:51,46:46,46:46,44:44,68:62,73:67,78:78,72:79,72:79,73:70,82:82,83:83,70:70,77:74,75:76,81:79,75:67,74:61,68:68,64:70,64:75,80:79,78:78,77:74,70:76,69:73,60:56,53:53,44:44,70:63,49:49,50:50,58:53,72:55,62:69,62:69,74:76,73:77,62:62,72:80,75
