Filename,Cluster,Midi 1 (transposed as written for TS),Fingering 1 Name,Fingering 1 Encoding,Midi 2 (transposed as written for TS),Fingering 2 Name,Fingering 2 Encoding,(Normalised) Trill Speed
Trill566.wav,100,75,Eb With octave key,1010110000000_1100110000,78,F# With octave key (main),1010110000000_0100000000,4.432888087558921
Trill567.wav,105,69,A Without octave key,0010100000000_0000000000,82,Bb With octave key (Bis key),1011100000000_0000000000,1.8334815593690095
Trill568.wav,105,67,G Without octave key,0010110000000_0000000000,80,G# With octave key (default),1010111000000_0000000000,1.7127197833401822
Trill569.wav,100,78,F# With octave key (Chromatic),1010110000000_1001000000,80,G# With octave key (default),1010111000000_0000000000,4.078764578236934
Trill570.wav,105,69,A Without octave key,0010100000000_0000000000,83,B With octave key,1010000000000_0000000000,1.6959457427500981
Trill571.wav,105,70,Bb Without octave key (side key),0010100000000_0000000001,83,B With octave key,1010000000000_0000000000,1.5477672736547237
Trill572.wav,105,68,G# Without octave key (default),0010111000000_0000000000,81,A With octave key,1010100000000_0000000000,1.6393506338611106
Trill573.wav,107,62,D Without octave key,0010110000000_1100100000,76,E With octave key,1010110000000_1100000000,1.0943045214940852
Trill574.wav,103,86,High D,1000000000001_0000000000,90,High F# (side),1000000000111_0010000100,4.556274167171885
Trill575.wav,105,70,Bb Without octave key (Bis key),0011100000000_0000000000,83,B With octave key,1010000000000_0000000000,1.207527360895727
Trill576.wav,105,70,Bb Without octave key (Bis key),0011100000000_0000000000,84,C With octave key,1000100000000_0000000000,1.6755868225269042
Trill578.wav,106,67,G Without octave key,0010110000000_0000000000,83,B With octave key,1010000000000_0000000000,1.5121386337095375
Trill579.wav,104,82,Bb With octave key (side key),1010100000000_0000000001,89,High F (side),1000000000111_0000000100,1.1435252274912802
Trill710.wav,131,69,A Without octave key,0010100000000_0000000000,75,Eb With octave key,1010110000000_1100110000,2.323419885153885
Trill711.wav,130,74,D With octave key,1010110000000_1100100000,81,A With octave key,1010100000000_0000000000,2.352140944481719
Trill712.wav,134,62,D Without octave key,0010110000000_1100100000,71,B Without octave key,0010000000000_0000000000,3.0652596477651612
Trill713.wav,133,62,D Without octave key,0010110000000_1100100000,73,C# Without octave key,0000000000000_0000000000,3.0083561742095664
Trill714.wav,132,61,Low C#,0010110100000_1100101000,64,E Without octave key,0010110000000_1100000000,3.458304574622363
Trill715.wav,136,79,G With octave key,1010110000000_0000000000,90,High F# (front),1100100000000_0010000000,0.915443398569156
Trill716.wav,138,62,D Without octave key,0010110000000_1100100000,70,Bb Without octave key (Bis key),0011100000000_0000000000,3.5567470736555173
Trill717.wav,-1,60,Low C,0010110000000_1100101000,65,F Without octave key,0010110000000_1000000000,3.847082756156376
Trill718.wav,142,70,Bb Without octave key (side key),0010100000000_0000000001,79,G With octave key,1010110000000_0000000000,1.9630624461882036
Trill719.wav,130,74,D With octave key,1010110000000_1100100000,80,G# With octave key (default),1010111000000_0000000000,3.637895408326288
Trill720.wav,-1,79,G With octave key,1010110000000_0000000000,84,C With octave key,1000100000000_0000000000,3.655370138495896
Trill721.wav,141,61,Low C#,0010110100000_1100101000,65,F Without octave key,0010110000000_1000000000,4.082865978131135
Trill722.wav,129,82,Bb With octave key (Bis key),1011100000000_0000000000,89,High F (front),1100100000000_0000000000,0.9652896176804086
Trill723.wav,141,61,Low C#,0010110100000_1100101000,66,F# Without octave key (main),0010110000000_0100000000,3.5311945359152803
Trill724.wav,134,63,Eb Without octave key,0010110000000_1100110000,73,C# Without octave key,0000000000000_0000000000,4.038317691526774
Trill725.wav,132,59,Low B,0010110010000_1100101000,62,D Without octave key,0010110000000_1100100000,3.585896281161438
Trill726.wav,141,60,Low C,0010110000000_1100101000,64,E Without octave key,0010110000000_1100000000,3.9609939628493778
Trill727.wav,-1,67,G Without octave key,0010110000000_0000000000,68,G# Without octave key (default),0010111000000_0000000000,6.396524048809263
Trill728.wav,136,80,G# With octave key (default),1010111000000_0000000000,90,High F# (front),1100100000000_0010000000,0.658714620101247
Trill729.wav,142,71,B Without octave key,0010000000000_0000000000,82,Bb With octave key (Bis key),1011100000000_0000000000,1.8561582145623683
