Filename,Cluster,Midi 1 (transposed as written for TS),Fingering 1 Name,Fingering 1 Encoding,Midi 2 (transposed as written for TS),Fingering 2 Name,Fingering 2 Encoding,(Normalised) Trill Speed
Trill0.wav,7,64,E Without octave key,0010110000000_1100000000,89,High F (side),1000000000111_0000000100,1.7176902463363037
Trill1.wav,0,82,Bb With octave key (Bis key),1011100000000_0000000000,83,B With octave key,1010000000000_0000000000,3.190596283231113
Trill2.wav,3,59,Low B,0010110010000_1100101000,90,High F# (side),1000000000111_0010000100,1.125241893617227
Trill3.wav,1,63,Eb Without octave key,0010110000000_1100110000,64,E Without octave key,0010110000000_1100000000,4.599784651260866
Trill4.wav,4,61,Low C#,0010110100000_1100101000,89,High F (side),1000000000111_0000000100,1.72916142578193
Trill5.wav,9,66,F# Without octave key (main),0010110000000_0100000000,89,High F (side),1000000000111_0000000100,1.534141505338435
Trill6.wav,0,80,G# With octave key (default),1010111000000_0000000000,81,A With octave key,1010100000000_0000000000,3.999515080176665
Trill7.wav,9,65,F Without octave key,0010110000000_1000000000,89,High F (side),1000000000111_0000000100,1.6505664501665205
Trill8.wav,5,59,Low B,0010110010000_1100101000,87,High Eb,1000000000011_0000000000,1.7590187447129275
Trill9.wav,5,60,Low C,0010110000000_1100101000,87,High Eb,1000000000011_0000000000,1.7590187447129275
Trill10.wav,1,64,E Without octave key,0010110000000_1100000000,66,F# Without octave key (main),0010110000000_0100000000,4.753631793111597
Trill11.wav,3,58,Low Bb,0010110001000_1100101000,90,High F# (side),1000000000111_0010000100,1.0560689612864
Trill12.wav,1,66,F# Without octave key (Chromatic),0010110000000_1001000000,67,G Without octave key,0010110000000_0000000000,4.166221885841868
Trill13.wav,-1,62,D Without octave key,0010110000000_1100100000,74,D With octave key,1010110000000_1100100000,1.4320578646372273
Trill14.wav,-1,67,G Without octave key,0010110000000_0000000000,68,G# Without octave key (default),0010111000000_0000000000,4.911412816478643
Trill15.wav,4,60,Low C,0010110000000_1100101000,88,High E,1000000000011_0000000100,1.2933041898259763
Trill16.wav,9,64,E Without octave key,0010110000000_1100000000,88,High E,1000000000011_0000000100,1.2112777308221534
Trill17.wav,6,62,D Without octave key,0010110000000_1100100000,90,High F# (side),1000000000111_0010000100,1.3331775283685787
Trill18.wav,2,59,Low B,0010110010000_1100101000,88,High E,1000000000011_0000000100,1.6302733163952778
Trill19.wav,1,64,E Without octave key,0010110000000_1100000000,65,F Without octave key,0010110000000_1000000000,7.101189345032202
Trill20.wav,9,66,F# Without octave key (Chromatic),0010110000000_1001000000,89,High F (side),1000000000111_0000000100,1.532101123273809
Trill21.wav,7,62,D Without octave key,0010110000000_1100100000,89,High F (side),1000000000111_0000000100,1.9149147221324985
Trill22.wav,9,66,F# Without octave key (main),0010110000000_0100000000,88,High E,1000000000011_0000000100,2.1495261207230505
Trill23.wav,9,67,G Without octave key,0010110000000_0000000000,90,High F# (side),1000000000111_0010000100,1.8105854023548977
Trill24.wav,6,63,Eb Without octave key,0010110000000_1100110000,90,High F# (side),1000000000111_0010000100,1.7741406866576392
Trill25.wav,9,65,F Without octave key,0010110000000_1000000000,88,High E,1000000000011_0000000100,1.9096275644907927
Trill26.wav,5,59,Low B,0010110010000_1100101000,86,High D,1000000000001_0000000000,1.9408191119406037
Trill27.wav,-1,60,Low C,0010110000000_1100101000,65,F Without octave key,0010110000000_1000000000,2.4969620410871776
Trill28.wav,8,58,Low Bb,0010110001000_1100101000,82,Bb With octave key (side key),1010100000000_0000000001,1.6578391075810242
Trill29.wav,1,65,F Without octave key,0010110000000_1000000000,66,F# Without octave key (main),0010110000000_0100000000,3.6767099226972397
Trill30.wav,2,60,Low C,0010110000000_1100101000,89,High F (side),1000000000111_0000000100,1.887441510306008
Trill31.wav,4,61,Low C#,0010110100000_1100101000,88,High E,1000000000011_0000000100,1.9409175411525035
Trill32.wav,3,60,Low C,0010110000000_1100101000,90,High F# (side),1000000000111_0010000100,1.4586134905484864
Trill33.wav,10,66,F# Without octave key (Chromatic),0010110000000_1001000000,90,High F# (side),1000000000111_0010000100,1.400618570738625
Trill34.wav,1,62,D Without octave key,0010110000000_1100100000,64,E Without octave key,0010110000000_1100000000,4.625749438009754
Trill35.wav,-1,75,Eb With octave key,1010110000000_1100110000,77,F With octave key,1010110000000_1000000000,4.752877389231864
Trill36.wav,-1,81,A With octave key,1010100000000_0000000000,88,High E,1000000000011_0000000100,1.930284413912601
Trill37.wav,11,67,G Without octave key,0010110000000_0000000000,88,High E,1000000000011_0000000100,2.1601480903460963
Trill38.wav,7,65,F Without octave key,0010110000000_1000000000,90,High F# (side),1000000000111_0010000100,1.2701883413125628
Trill39.wav,2,59,Low B,0010110010000_1100101000,89,High F (side),1000000000111_0000000100,1.6064151531756188
Trill40.wav,2,58,Low Bb,0010110001000_1100101000,88,High E,1000000000011_0000000100,1.5696809655736454
Trill41.wav,1,62,D Without octave key,0010110000000_1100100000,63,Eb Without octave key,0010110000000_1100110000,4.666673474530868
Trill42.wav,1,69,A Without octave key,0010100000000_0000000000,70,Bb Without octave key (side key),0010100000000_0000000001,7.382232671326267
Trill43.wav,0,83,B With octave key,1010000000000_0000000000,84,C With octave key,1000100000000_0000000000,4.003179805612849
Trill44.wav,8,59,Low B,0010110010000_1100101000,82,Bb With octave key (side key),1010100000000_0000000001,1.6712987047545091
Trill45.wav,1,65,F Without octave key,0010110000000_1000000000,66,F# Without octave key (Chromatic),0010110000000_1001000000,6.918708799828392
Trill46.wav,1,66,F# Without octave key (main),0010110000000_0100000000,67,G Without octave key,0010110000000_0000000000,4.577579557184967
Trill47.wav,7,63,Eb Without octave key,0010110000000_1100110000,88,High E,1000000000011_0000000100,1.8271041166702493
Trill48.wav,-1,79,G With octave key,1010110000000_0000000000,84,C With octave key,1000100000000_0000000000,3.8595876500016706
Trill49.wav,2,58,Low Bb,0010110001000_1100101000,89,High F (side),1000000000111_0000000100,1.6277523503610933
Trill50.wav,9,66,F# Without octave key (main),0010110000000_0100000000,90,High F# (side),1000000000111_0010000100,1.5559364428837767
Trill51.wav,11,67,G Without octave key,0010110000000_0000000000,89,High F (side),1000000000111_0000000100,1.606661416377495
Trill52.wav,3,61,Low C#,0010110100000_1100101000,90,High F# (side),1000000000111_0010000100,1.4888559415499205
