Filename,Cluster,Midi 1 (transposed as written for TS),Fingering 1 Name,Fingering 1 Encoding,Midi 2 (transposed as written for TS),Fingering 2 Name,Fingering 2 Encoding,(Normalised) Trill Speed
Trill710.wav,131,69,A Without octave key,0010100000000_0000000000,75,Eb With octave key,1010110000000_1100110000,2.3131320207882373
Trill711.wav,130,74,D With octave key,1010110000000_1100100000,81,A With octave key,1010100000000_0000000000,2.328713280564123
Trill712.wav,134,62,D Without octave key,0010110000000_1100100000,71,B Without octave key,0010000000000_0000000000,3.054972961878483
Trill713.wav,133,62,D Without octave key,0010110000000_1100100000,73,C# Without octave key,0000000000000_0000000000,2.9980683163780117
Trill714.wav,132,61,Low C#,0010110100000_1100101000,64,E Without octave key,0010110000000_1100000000,3.448025478877669
Trill715.wav,136,79,G With octave key,1010110000000_0000000000,90,High F# (front),1100100000000_0010000000,0.8915917698796894
Trill716.wav,138,62,D Without octave key,0010110000000_1100100000,70,Bb Without octave key (Bis key),0011100000000_0000000000,3.5464679658302307
Trill717.wav,-1,60,Low C,0010110000000_1100101000,65,F Without octave key,0010110000000_1000000000,3.8368036603912916
Trill718.wav,142,70,Bb Without octave key (side key),0010100000000_0000000001,79,G With octave key,1010110000000_0000000000,1.9235486693382216
Trill719.wav,130,74,D With octave key,1010110000000_1100100000,80,G# With octave key (default),1010111000000_0000000000,3.6143973359212174
Trill720.wav,-1,79,G With octave key,1010110000000_0000000000,84,C With octave key,1000100000000_0000000000,3.6440177185782243
Trill721.wav,141,61,Low C#,0010110100000_1100101000,65,F Without octave key,0010110000000_1000000000,4.072586882384011
Trill722.wav,129,82,Bb With octave key (Bis key),1011100000000_0000000000,89,High F (front),1100100000000_0000000000,0.9474296920156954
Trill723.wav,141,61,Low C#,0010110100000_1100101000,66,F# Without octave key (main),0010110000000_0100000000,3.5209154401506884
Trill724.wav,134,63,Eb Without octave key,0010110000000_1100110000,73,C# Without octave key,0000000000000_0000000000,4.028030007713376
Trill725.wav,132,59,Low B,0010110010000_1100101000,62,D Without octave key,0010110000000_1100100000,3.5756171854172356
Trill726.wav,141,60,Low C,0010110000000_1100101000,64,E Without octave key,0010110000000_1100000000,3.950714867102253
Trill727.wav,-1,67,G Without octave key,0010110000000_0000000000,68,G# Without octave key (default),0010111000000_0000000000,6.38626000180029
Trill728.wav,136,80,G# With octave key (default),1010111000000_0000000000,90,High F# (front),1100100000000_0010000000,0.6349386988710459
Trill729.wav,142,71,B Without octave key,0010000000000_0000000000,82,Bb With octave key (Bis key),1011100000000_0000000000,1.832322562228474
Trill730.wav,142,71,B Without octave key,0010000000000_0000000000,81,A With octave key,1010100000000_0000000000,2.03799548488265
Trill731.wav,136,80,G# With octave key (default),1010111000000_0000000000,89,High F (front),1100100000000_0000000000,1.444600326437541
Trill732.wav,142,69,A Without octave key,0010100000000_0000000000,80,G# With octave key (default),1010111000000_0000000000,1.8729384114141305
Trill733.wav,139,61,Low C#,0010110100000_1100101000,62,D Without octave key,0010110000000_1100100000,4.2059202157201465
Trill734.wav,131,68,G# Without octave key (default),0010111000000_0000000000,75,Eb With octave key,1010110000000_1100110000,1.902990965278413
Trill735.wav,134,62,D Without octave key,0010110000000_1100100000,72,C Without octave key,0000100000000_0000000000,3.298418056688519
Trill736.wav,142,72,C Without octave key,0000100000000_0000000000,82,Bb With octave key (Bis key),1011100000000_0000000000,1.76404027757768
Trill737.wav,142,70,Bb Without octave key (Bis key),0011100000000_0000000000,80,G# With octave key (default),1010111000000_0000000000,1.5071791895181674
Trill738.wav,142,73,C# Without octave key,0000000000000_0000000000,83,B With octave key,1010000000000_0000000000,2.425399723976929
Trill739.wav,131,67,G Without octave key,0010110000000_0000000000,74,D With octave key,1010110000000_1100100000,1.9392447847322605
Trill740.wav,130,75,Eb With octave key,1010110000000_1100110000,80,G# With octave key (default),1010111000000_0000000000,3.6926614854856337
Trill741.wav,130,74,D With octave key,1010110000000_1100100000,79,G With octave key,1010110000000_0000000000,4.714787505461568
Trill742.wav,136,78,F# With octave key (Chromatic),1010110000000_1001000000,89,High F (front),1100100000000_0000000000,1.4942689448297894
Trill743.wav,-1,75,Eb With octave key,1010110000000_1100110000,77,F With octave key,1010110000000_1000000000,5.233576900842594
Trill744.wav,133,74,D With octave key,1010110000000_1100100000,84,C With octave key,1000100000000_0000000000,1.8945641669332756
Trill745.wav,142,72,C Without octave key,0000100000000_0000000000,81,A With octave key,1010100000000_0000000000,2.130461807867407
Trill746.wav,136,79,G With octave key,1010110000000_0000000000,89,High F (front),1100100000000_0000000000,1.7346095963063604
Trill747.wav,139,60,Low C,0010110000000_1100101000,61,Low C#,0010110100000_1100101000,5.2725868823873
Trill748.wav,142,73,C# Without octave key,0000000000000_0000000000,84,C With octave key,1000100000000_0000000000,2.383649054982485
Trill749.wav,135,75,Eb With octave key,1010110000000_1100110000,83,B With octave key,1010000000000_0000000000,2.9459642286972527
Trill750.wav,-1,62,D Without octave key,0010110000000_1100100000,74,D With octave key,1010110000000_1100100000,1.277037358824345
