Filename,Cluster,Midi 1 (transposed as written for TS),Fingering 1 Name,Fingering 1 Encoding,Midi 2 (transposed as written for TS),Fingering 2 Name,Fingering 2 Encoding,Trill Speed
Trill515.wav,102,81,A With octave key,1010100000000_0000000000,86,High D,1000000000001_0000000000,2.8052805280528057
Trill516.wav,106,70,Bb Without octave key (Bis key),0011100000000_0000000000,85,C# With octave key,1000000000000_0000000000,1.9607843137254906
Trill517.wav,100,74,D With octave key,1010110000000_1100100000,78,F# With octave key (main),1010110000000_0100000000,3.8076152304609217
Trill518.wav,-1,62,D Without octave key,0010110000000_1100100000,74,D With octave key,1010110000000_1100100000,1.4195583596214512
Trill519.wav,106,70,Bb Without octave key (side key),0010100000000_0000000001,85,C# With octave key,1000000000000_0000000000,1.8545994065281899
Trill520.wav,101,68,G# Without octave key (default),0010111000000_0000000000,71,B Without octave key,0010000000000_0000000000,5.7114228456913825
Trill521.wav,101,68,G# Without octave key (default),0010111000000_0000000000,72,C Without octave key,0000100000000_0000000000,4.608695652173913
Trill522.wav,100,76,E With octave key,1010110000000_1100000000,80,G# With octave key (default),1010111000000_0000000000,4.666666666666667
Trill523.wav,101,80,G# With octave key (default),1010111000000_0000000000,85,C# With octave key,1000000000000_0000000000,4.571428571428571
Trill524.wav,104,81,A With octave key,1010100000000_0000000000,87,High Eb,1000000000011_0000000000,2.713178294573644
Trill525.wav,101,69,A Without octave key,0010100000000_0000000000,73,C# Without octave key,0000000000000_0000000000,4.866412213740458
Trill526.wav,103,78,F# With octave key (main),1010110000000_0100000000,82,Bb With octave key (side key),1010100000000_0000000001,2.756892230576441
Trill527.wav,103,77,F With octave key,1010110000000_1000000000,82,Bb With octave key (side key),1010100000000_0000000001,2.6239067055393583
Trill528.wav,-1,75,Eb With octave key,1010110000000_1100110000,77,F With octave key,1010110000000_1000000000,5.684754521963824
Trill529.wav,102,86,High D,1000000000001_0000000000,90,High F# (front),1100100000000_0010000000,2.2875816993464055
Trill530.wav,-1,79,G With octave key,1010110000000_0000000000,84,C With octave key,1000100000000_0000000000,4.181494661921708
Trill531.wav,102,82,Bb With octave key (Bis key),1011100000000_0000000000,87,High Eb,1000000000011_0000000000,2.0833333333333335
Trill532.wav,102,83,B With octave key,1010000000000_0000000000,87,High Eb,1000000000011_0000000000,2.3076923076923075
Trill533.wav,101,68,G# Without octave key (default),0010111000000_0000000000,73,C# Without octave key,0000000000000_0000000000,5.445544554455446
Trill534.wav,107,65,F Without octave key,0010110000000_1000000000,78,F# With octave key (Chromatic),1010110000000_1001000000,1.7492711370262388
Trill535.wav,107,66,F# Without octave key (main),0010110000000_0100000000,80,G# With octave key (default),1010111000000_0000000000,1.2084592145015105
Trill536.wav,107,64,E Without octave key,0010110000000_1100000000,78,F# With octave key (main),1010110000000_0100000000,1.7543859649122806
Trill537.wav,104,82,Bb With octave key (side key),1010100000000_0000000001,88,High E,1000000000011_0000000100,1.5068493150684934
Trill538.wav,105,72,C Without octave key,0000100000000_0000000000,85,C# With octave key,1000000000000_0000000000,2.237521514629948
