Filename,Cluster,Midi 1 (transposed as written for TS),Fingering 1 Name,Fingering 1 Encoding,Midi 2 (transposed as written for TS),Fingering 2 Name,Fingering 2 Encoding,(Normalised) Trill Speed
Trill566.wav,100,75,Eb With octave key,1010110000000_1100110000,78,F# With octave key (main),1010110000000_0100000000,4.4420179090051395
Trill567.wav,105,69,A Without octave key,0010100000000_0000000000,82,Bb With octave key (Bis key),1011100000000_0000000000,1.8426113808152276
Trill568.wav,105,67,G Without octave key,0010110000000_0000000000,80,G# With octave key (default),1010111000000_0000000000,1.71498182675017
Trill569.wav,100,78,F# With octave key (Chromatic),1010110000000_1001000000,80,G# With octave key (default),1010111000000_0000000000,4.087894399683153
Trill570.wav,105,69,A Without octave key,0010100000000_0000000000,83,B With octave key,1010000000000_0000000000,1.7050755641963162
Trill571.wav,105,70,Bb Without octave key (side key),0010100000000_0000000001,83,B With octave key,1010000000000_0000000000,1.5568970951009418
Trill572.wav,105,68,G# Without octave key (default),0010111000000_0000000000,81,A With octave key,1010100000000_0000000000,1.6484804553073287
Trill573.wav,107,62,D Without octave key,0010110000000_1100100000,76,E With octave key,1010110000000_1100000000,1.096564261021205
Trill574.wav,103,86,High D,1000000000001_0000000000,90,High F# (side),1000000000111_0010000100,4.565403988618104
Trill575.wav,105,70,Bb Without octave key (Bis key),0011100000000_0000000000,83,B With octave key,1010000000000_0000000000,1.2166571823419452
Trill576.wav,105,70,Bb Without octave key (Bis key),0011100000000_0000000000,84,C With octave key,1000100000000_0000000000,1.6847166439731223
Trill578.wav,106,67,G Without octave key,0010110000000_0000000000,83,B With octave key,1010000000000_0000000000,1.5212684551557556
Trill579.wav,104,82,Bb With octave key (side key),1010100000000_0000000001,89,High F (side),1000000000111_0000000100,1.1526550489374983
Trill710.wav,131,69,A Without octave key,0010100000000_0000000000,75,Eb With octave key,1010110000000_1100110000,2.3256796246810048
Trill711.wav,130,74,D With octave key,1010110000000_1100100000,81,A With octave key,1010100000000_0000000000,2.3612707659279373
Trill712.wav,134,62,D Without octave key,0010110000000_1100100000,71,B Without octave key,0010000000000_0000000000,3.067519387292281
Trill713.wav,133,62,D Without octave key,0010110000000_1100100000,73,C# Without octave key,0000000000000_0000000000,3.010615913736686
