Filename,Cluster,Midi 1 (transposed as written for TS),Fingering 1 Name,Fingering 1 Encoding,Midi 2 (transposed as written for TS),Fingering 2 Name,Fingering 2 Encoding,(Normalised) Trill Speed
Trill53.wav,0,80,G# With octave key (default),1010111000000_0000000000,82,Bb With octave key (Bis key),1011100000000_0000000000,4.936655929265049
Trill54.wav,11,68,G# Without octave key (default),0010111000000_0000000000,88,High E,1000000000011_0000000100,1.9143945399406306
Trill55.wav,9,66,F# Without octave key (Chromatic),0010110000000_1001000000,88,High E,1000000000011_0000000100,1.7893637957677666
Trill56.wav,5,58,Low Bb,0010110001000_1100101000,86,High D,1000000000001_0000000000,1.7215269250211165
Trill57.wav,11,68,G# Without octave key (default),0010111000000_0000000000,89,High F (side),1000000000111_0000000100,1.5529916558387973
Trill58.wav,1,65,F Without octave key,0010110000000_1000000000,67,G Without octave key,0010110000000_0000000000,5.440703629176816
Trill59.wav,7,63,Eb Without octave key,0010110000000_1100110000,89,High F (side),1000000000111_0000000100,1.6682515715452415
Trill60.wav,11,68,G# Without octave key (default),0010111000000_0000000000,90,High F# (side),1000000000111_0010000100,1.7612667521314362
Trill61.wav,7,64,E Without octave key,0010110000000_1100000000,90,High F# (side),1000000000111_0010000100,1.2411691702692247
Trill62.wav,7,62,D Without octave key,0010110000000_1100100000,88,High E,1000000000011_0000000100,1.825651075633757
Trill63.wav,5,58,Low Bb,0010110001000_1100101000,87,High Eb,1000000000011_0000000000,1.5760104722680928
Trill782.wav,144,68,G# Without octave key (default),0010111000000_0000000000,77,F With octave key,1010110000000_1000000000,1.9859257504954242
Trill783.wav,-1,67,G Without octave key,0010110000000_0000000000,68,G# Without octave key (default),0010111000000_0000000000,6.925929283164046
Trill784.wav,143,71,B Without octave key,0010000000000_0000000000,77,F With octave key,1010110000000_1000000000,2.6555819674802086
Trill785.wav,145,66,F# Without octave key (main),0010110000000_0100000000,73,C# Without octave key,0000000000000_0000000000,4.394588663754183
