Filename,Cluster,Midi 1 (transposed as written for TS),Fingering 1 Name,Fingering 1 Encoding,Midi 2 (transposed as written for TS),Fingering 2 Name,Fingering 2 Encoding,(Normalised) Trill Speed
Trill710.wav,131,69,A Without octave key,0010100000000_0000000000,75,Eb With octave key,1010110000000_1100110000,2.3048588853464973
Trill711.wav,130,74,D With octave key,1010110000000_1100100000,81,A With octave key,1010100000000_0000000000,2.3204875217928476
Trill712.wav,134,62,D Without octave key,0010110000000_1100100000,71,B Without octave key,0010000000000_0000000000,3.046699969693079
Trill713.wav,133,62,D Without octave key,0010110000000_1100100000,73,C# Without octave key,0000000000000_0000000000,2.9897951820539763
Trill714.wav,132,61,Low C#,0010110100000_1100101000,64,E Without octave key,0010110000000_1100000000,3.4397534086130976
Trill715.wav,136,79,G With octave key,1010110000000_0000000000,90,High F# (front),1100100000000_0010000000,0.8833049646534924
Trill716.wav,138,62,D Without octave key,0010110000000_1100100000,70,Bb Without octave key (Bis key),0011100000000_0000000000,3.5381958941236755
Trill717.wav,-1,60,Low C,0010110000000_1100101000,65,F Without octave key,0010110000000_1000000000,3.8285315901251162
Trill718.wav,142,70,Bb Without octave key (side key),0010100000000_0000000001,79,G With octave key,1010110000000_0000000000,1.9093596052249195
Trill719.wav,130,74,D With octave key,1010110000000_1100100000,80,G# With octave key (default),1010111000000_0000000000,3.606163023829218
Trill720.wav,-1,79,G With octave key,1010110000000_0000000000,84,C With octave key,1000100000000_0000000000,3.637258311066481
Trill721.wav,141,61,Low C#,0010110100000_1100101000,65,F Without octave key,0010110000000_1000000000,4.064314812119249
Trill722.wav,129,82,Bb With octave key (Bis key),1011100000000_0000000000,89,High F (front),1100100000000_0000000000,0.9398666962371987
Trill723.wav,141,61,Low C#,0010110100000_1100101000,66,F# Without octave key (main),0010110000000_0100000000,3.512643369884059
Trill724.wav,134,63,Eb Without octave key,0010110000000_1100110000,73,C# Without octave key,0000000000000_0000000000,4.0197568944644315
Trill725.wav,132,59,Low B,0010110010000_1100101000,62,D Without octave key,0010110000000_1100100000,3.56734511515221
Trill726.wav,141,60,Low C,0010110000000_1100101000,64,E Without octave key,0010110000000_1100000000,3.9424427968374904
Trill727.wav,-1,67,G Without octave key,0010110000000_0000000000,68,G# Without octave key (default),0010111000000_0000000000,6.377989759324699
Trill728.wav,136,80,G# With octave key (default),1010111000000_0000000000,90,High F# (front),1100100000000_0010000000,0.626658994249677
Trill729.wav,142,71,B Without octave key,0010000000000_0000000000,82,Bb With octave key (Bis key),1011100000000_0000000000,1.8240427184213988
Trill730.wav,142,71,B Without octave key,0010000000000_0000000000,81,A With octave key,1010100000000_0000000000,2.0297168561296197
Trill731.wav,136,80,G# With octave key (default),1010111000000_0000000000,89,High F (front),1100100000000_0000000000,1.436282873754858
Trill732.wav,142,69,A Without octave key,0010100000000_0000000000,80,G# With octave key (default),1010111000000_0000000000,1.8646622090184668
Trill733.wav,139,61,Low C#,0010110100000_1100101000,62,D Without octave key,0010110000000_1100100000,4.197648145455604
Trill734.wav,131,68,G# Without octave key (default),0010111000000_0000000000,75,Eb With octave key,1010110000000_1100110000,1.894717825113541
Trill735.wav,134,62,D Without octave key,0010110000000_1100100000,72,C Without octave key,0000100000000_0000000000,3.2901449396244895
Trill736.wav,142,72,C Without octave key,0000100000000_0000000000,82,Bb With octave key (Bis key),1011100000000_0000000000,1.7557590017131486
Trill737.wav,142,70,Bb Without octave key (Bis key),0011100000000_0000000000,80,G# With octave key (default),1010111000000_0000000000,1.49890234276569
Trill738.wav,142,73,C# Without octave key,0000000000000_0000000000,83,B With octave key,1010000000000_0000000000,2.417114514894615
Trill739.wav,131,67,G Without octave key,0010110000000_0000000000,74,D With octave key,1010110000000_1100100000,1.930971649689655
Trill740.wav,130,75,Eb With octave key,1010110000000_1100110000,80,G# With octave key (default),1010111000000_0000000000,3.6844357347585848
Trill741.wav,130,74,D With octave key,1010110000000_1100100000,79,G With octave key,1010110000000_0000000000,4.706546175962115
Trill742.wav,136,78,F# With octave key (Chromatic),1010110000000_1001000000,89,High F (front),1100100000000_0000000000,1.4859949313499512
Trill743.wav,-1,75,Eb With octave key,1010110000000_1100110000,77,F With octave key,1010110000000_1000000000,5.22532981902282
Trill744.wav,133,74,D With octave key,1010110000000_1100100000,84,C With octave key,1000100000000_0000000000,1.886292510046153
Trill745.wav,142,72,C Without octave key,0000100000000_0000000000,81,A With octave key,1010100000000_0000000000,2.1221820061049668
Trill746.wav,136,79,G With octave key,1010110000000_0000000000,89,High F (front),1100100000000_0000000000,1.7262395889260707
Trill747.wav,139,60,Low C,0010110000000_1100101000,61,Low C#,0010110100000_1100101000,5.264314812122301
Trill748.wav,142,73,C# Without octave key,0000000000000_0000000000,84,C With octave key,1000100000000_0000000000,2.3753611792750013
Trill749.wav,135,75,Eb With octave key,1010110000000_1100110000,83,B With octave key,1010000000000_0000000000,2.9377770351185086
Trill750.wav,-1,62,D Without octave key,0010110000000_1100100000,74,D With octave key,1010110000000_1100100000,1.2687641832596106
Trill751.wav,-1,81,A With octave key,1010100000000_0000000000,88,High E,1000000000011_0000000100,2.619859707795019
Trill752.wav,137,66,F# Without octave key (Chromatic),0010110000000_1001000000,74,D With octave key,1010110000000_1100100000,0.9985873043153247
Trill753.wav,138,64,E Without octave key,0010110000000_1100000000,73,C# Without octave key,0000000000000_0000000000,3.991298421615534
Trill754.wav,130,75,Eb With octave key,1010110000000_1100110000,81,A With octave key,1010100000000_0000000000,2.872681930610891
Trill755.wav,132,60,Low C,0010110000000_1100101000,62,D Without octave key,0010110000000_1100100000,3.667636283059349
Trill756.wav,140,81,A With octave key,1010100000000_0000000000,90,High F# (front),1100100000000_0010000000,1.0578522381002315
Trill757.wav,140,81,A With octave key,1010100000000_0000000000,89,High F (front),1100100000000_0000000000,1.9617702249985418
Trill758.wav,142,70,Bb Without octave key (Bis key),0011100000000_0000000000,81,A With octave key,1010100000000_0000000000,2.008106426710827
Trill759.wav,139,59,Low B,0010110010000_1100101000,60,Low C,0010110000000_1100101000,5.120854896510487
Trill760.wav,142,68,G# Without octave key (default),0010111000000_0000000000,78,F# With octave key (main),1010110000000_0100000000,1.6701011939129773
Trill761.wav,137,66,F# Without octave key (Chromatic),0010110000000_1001000000,75,Eb With octave key,1010110000000_1100110000,1.0760098167293297
Trill762.wav,138,64,E Without octave key,0010110000000_1100000000,71,B Without octave key,0010000000000_0000000000,3.7685516143662037
Trill763.wav,138,64,E Without octave key,0010110000000_1100000000,72,C Without octave key,0000100000000_0000000000,3.4426919619308975
Trill764.wav,131,67,G Without octave key,0010110000000_0000000000,75,Eb With octave key,1010110000000_1100110000,1.7677063425034083
Trill765.wav,134,63,Eb Without octave key,0010110000000_1100110000,71,B Without octave key,0010000000000_0000000000,3.275465242257065
Trill766.wav,134,63,Eb Without octave key,0010110000000_1100110000,72,C Without octave key,0000100000000_0000000000,2.6000124028570952
Trill767.wav,133,75,Eb With octave key,1010110000000_1100110000,85,C# With octave key,1000000000000_0000000000,2.636874284445106
Trill768.wav,129,83,B With octave key,1010000000000_0000000000,90,High F# (front),1100100000000_0010000000,0.8570695085040702
Trill769.wav,135,75,Eb With octave key,1010110000000_1100110000,84,C With octave key,1000100000000_0000000000,2.6484937914893636
