Filename,Note 1 MIDI,Note 2 MIDI,Best Trill Speed
Trill258.wav,47,66,1.3189448441247003
Trill270.wav,71,77,2.1904761904761907
Trill264.wav,70,76,2.4312896405919666
Trill304.wav,54,58,2.564102564102564
Trill310.wav,53,78,1.894736842105263
Trill311.wav,60,75,2.479338842975207
Trill305.wav,47,64,2.225519287833828
Trill265.wav,58,75,1.9184652278177463
Trill271.wav,66,68,4.370179948586118
Trill259.wav,65,69,4.43213296398892
Trill267.wav,53,77,1.7955801104972378
Trill273.wav,49,65,2.0
Trill298.wav,48,53,4.084507042253521
Trill307.wav,50,77,2.1963824289405687
Trill306.wav,58,75,2.236421725239617
Trill312.wav,72,76,2.005730659025788
Trill299.wav,54,58,4.285714285714286
Trill272.wav,53,57,4.173764906303237
Trill266.wav,49,56,2.236421725239617
Trill262.wav,60,74,2.0044543429844097
Trill276.wav,52,78,2.0100502512562812
Trill289.wav,54,77,2.292263610315186
Trill316.wav,51,77,1.6795865633074938
Trill302.wav,63,65,5.121042830540036
Trill303.wav,52,56,4.395604395604396
Trill288.wav,55,78,1.8394648829431437
Trill277.wav,70,75,2.620967741935484
Trill263.wav,48,65,2.5906735751295336
Trill275.wav,48,66,1.5439429928741089
Trill261.wav,49,66,1.82370820668693
Trill301.wav,69,72,5.959031657355679
Trill315.wav,69,76,2.0833333333333335
Trill314.wav,59,75,2.2869022869022873
Trill300.wav,49,66,2.5889967637540456
Trill260.wav,65,68,4.732824427480916
Trill274.wav,58,74,3.468208092485549
Trill279.wav,54,57,4.847396768402154
Trill292.wav,46,61,2.1303258145363406
Trill286.wav,54,77,1.9736842105263157
Trill287.wav,66,69,3.5331905781584583
Trill293.wav,72,77,1.7241379310344829
Trill278.wav,57,75,2.369077306733167
Trill252.wav,50,62,1.6224188790560474
Trill285.wav,72,78,2.264808362369338
Trill291.wav,73,78,4.011741682974559
Trill290.wav,57,74,2.5612472160356345
Trill284.wav,70,74,2.923076923076923
Trill253.wav,54,57,4.004106776180698
Trill257.wav,47,61,2.0134228187919465
Trill280.wav,50,53,3.5634743875278394
Trill294.wav,58,74,2.3046092184368736
Trill295.wav,73,76,5.456570155902004
Trill281.wav,53,56,4.336283185840708
Trill256.wav,52,77,1.8716577540106951
Trill254.wav,55,56,4.795918367346938
Trill268.wav,59,74,2.248677248677249
Trill297.wav,54,78,1.2415349887133187
Trill283.wav,46,66,2.040816326530612
Trill308.wav,54,58,3.3549783549783543
Trill309.wav,71,76,2.531645569620253
Trill282.wav,54,58,2.338129496402878
Trill296.wav,67,72,4.048964218455743
Trill269.wav,46,60,2.1148036253776437
Trill255.wav,73,77,3.2911392405063293
